id,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-21 07:30:47,2008-11-21,07:30:47,BedRight,BedRight,ON,Other_Activity,None
1,2008-11-21 07:30:57,2008-11-21,07:30:57,BedRight,BedRight,ON,Pat_74,GoToBed
2,2008-11-21 11:21:35,2008-11-21,11:21:35,BathroomDoor,BathroomDoor,ON,Pat_74,GoToBed
3,2008-11-21 11:23:04,2008-11-21,11:23:04,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Other_Activity,None
4,2008-11-21 11:25:26,2008-11-21,11:25:26,Dresser,Dresser,ON,Other_Activity,None
5,2008-11-21 11:25:29,2008-11-21,11:25:29,BedLeft,BedLeft,ON,Pat_31,GetDressed
6,2008-11-21 11:25:31,2008-11-21,11:25:31,BedLeft,BedLeft,ON,Pat_31,GetDressed
7,2008-11-21 11:27:02,2008-11-21,11:27:02,Dresser,Dresser,ON,Pat_87,GetDressed
8,2008-11-21 11:27:45,2008-11-21,11:27:45,BedroomDoor,BedroomDoor,ON,Pat_87,GetDressed
9,2008-11-21 11:29:47,2008-11-21,11:29:47,Couch,Couch,ON,Pat_167,Eating
10,2008-11-21 11:29:49,2008-11-21,11:29:49,Couch,Couch,ON,Pat_167,Eating
11,2008-11-21 11:29:59,2008-11-21,11:29:59,Couch,Couch,ON,Pat_167,Eating
12,2008-11-21 11:30:06,2008-11-21,11:30:06,Couch,Couch,ON,Pat_167,Eating
13,2008-11-21 11:30:14,2008-11-21,11:30:14,Couch,Couch,ON,Pat_167,Eating
14,2008-11-21 11:30:32,2008-11-21,11:30:32,Couch,Couch,ON,Pat_167,Eating
15,2008-11-21 11:33:32,2008-11-21,11:33:32,PlatesCupboard,PlatesCupboard,ON,Pat_167,Eating
16,2008-11-21 11:34:15,2008-11-21,11:34:15,Fridge,Fridge,ON,Pat_61,Eating
17,2008-11-21 11:34:15,2008-11-21,11:34:15,Fridge,Fridge,ON,Pat_61,PrepareBreakfast
18,2008-11-21 11:34:41,2008-11-21,11:34:41,Freezer,Freezer,ON,Pat_61,Eating
19,2008-11-21 11:34:41,2008-11-21,11:34:41,Freezer,Freezer,ON,Pat_61,PrepareBreakfast
20,2008-11-21 11:34:43,2008-11-21,11:34:43,Fridge,Fridge,ON,Pat_61,Eating
21,2008-11-21 11:34:43,2008-11-21,11:34:43,Fridge,Fridge,ON,Pat_61,PrepareBreakfast
22,2008-11-21 11:36:49,2008-11-21,11:36:49,Cutlery,Cutlery,ON,Pat_61,Eating
23,2008-11-21 11:36:49,2008-11-21,11:36:49,Cutlery,Cutlery,ON,Pat_61,PrepareBreakfast
24,2008-11-21 11:37:37,2008-11-21,11:37:37,Fridge,Fridge,ON,Pat_61,Eating
25,2008-11-21 11:37:37,2008-11-21,11:37:37,Fridge,Fridge,ON,Pat_61,PrepareBreakfast
26,2008-11-21 11:38:44,2008-11-21,11:38:44,Freezer,Freezer,ON,Pat_61,Eating
27,2008-11-21 11:38:44,2008-11-21,11:38:44,Freezer,Freezer,ON,Pat_61,PrepareBreakfast
28,2008-11-21 11:39:06,2008-11-21,11:39:06,Fridge,Fridge,ON,Other_Activity,None
29,2008-11-21 11:39:23,2008-11-21,11:39:23,CupboardCups,CupboardCups,ON,Pat_194,Eating
30,2008-11-21 11:39:25,2008-11-21,11:39:25,CupboardCups,CupboardCups,ON,Pat_194,Eating
31,2008-11-21 11:39:27,2008-11-21,11:39:27,Cutlery,Cutlery,ON,Pat_194,Eating
32,2008-11-21 11:39:30,2008-11-21,11:39:30,Cutlery,Cutlery,ON,Pat_194,Eating
33,2008-11-21 11:39:34,2008-11-21,11:39:34,CupboardCups,CupboardCups,ON,Pat_91,GetDrink
34,2008-11-21 11:39:49,2008-11-21,11:39:49,CupboardCups,CupboardCups,ON,Pat_91,GetDrink
35,2008-11-21 11:41:34,2008-11-21,11:41:34,PlatesCupboard,PlatesCupboard,ON,Other_Activity,None
36,2008-11-21 11:42:02,2008-11-21,11:42:02,Couch,Couch,ON,Pat_4,Relax
37,2008-11-21 11:42:06,2008-11-21,11:42:06,Couch,Couch,ON,Pat_4,Relax
38,2008-11-21 11:42:10,2008-11-21,11:42:10,Couch,Couch,ON,Pat_4,Relax
39,2008-11-21 11:42:29,2008-11-21,11:42:29,Couch,Couch,ON,Pat_4,Relax
40,2008-11-21 13:08:41,2008-11-21,13:08:41,Couch,Couch,ON,Pat_4,Relax
41,2008-11-21 13:42:57,2008-11-21,13:42:57,CupboardCups,CupboardCups,ON,Other_Activity,None
42,2008-11-21 13:43:58,2008-11-21,13:43:58,PlatesCupboard,PlatesCupboard,ON,Pat_76,PrepareLunch
43,2008-11-21 13:44:03,2008-11-21,13:44:03,PlatesCupboard,PlatesCupboard,ON,Pat_76,PrepareLunch
44,2008-11-21 13:44:26,2008-11-21,13:44:26,Fridge,Fridge,ON,Pat_76,PrepareLunch
45,2008-11-21 13:44:53,2008-11-21,13:44:53,Fridge,Fridge,ON,Pat_76,PrepareLunch
46,2008-11-21 13:45:05,2008-11-21,13:45:05,Cutlery,Cutlery,ON,Pat_8,PrepareLunch
47,2008-11-21 13:45:18,2008-11-21,13:45:18,Cutlery,Cutlery,ON,Pat_8,PrepareLunch
48,2008-11-21 13:45:25,2008-11-21,13:45:25,Cutlery,Cutlery,ON,Pat_8,PrepareLunch
49,2008-11-21 13:45:26,2008-11-21,13:45:26,Cutlery,Cutlery,ON,Pat_8,PrepareLunch
50,2008-11-21 13:46:23,2008-11-21,13:46:23,Cutlery,Cutlery,ON,Pat_8,PrepareLunch
51,2008-11-21 13:46:30,2008-11-21,13:46:30,Cutlery,Cutlery,ON,Pat_8,PrepareLunch
52,2008-11-21 13:48:20,2008-11-21,13:48:20,Couch,Couch,ON,Pat_4,Relax
53,2008-11-21 13:53:46,2008-11-21,13:53:46,Couch,Couch,ON,Pat_4,Relax
54,2008-11-21 14:38:07,2008-11-21,14:38:07,Fridge,Fridge,ON,Pat_14,GetDrink
55,2008-11-21 14:38:32,2008-11-21,14:38:32,Fridge,Fridge,ON,Pat_14,GetDrink
56,2008-11-21 14:38:36,2008-11-21,14:38:36,Fridge,Fridge,ON,Pat_14,GetDrink
57,2008-11-21 14:52:42,2008-11-21,14:52:42,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
58,2008-11-21 14:52:42,2008-11-21,14:52:42,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletUpstairs
59,2008-11-21 14:55:10,2008-11-21,14:55:10,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
60,2008-11-21 14:55:10,2008-11-21,14:55:10,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletUpstairs
61,2008-11-21 14:55:40,2008-11-21,14:55:40,ToiletFlushDownstairs,ToiletFlushDownstairs,ON,Pat_158,UseToiletDownstairs
62,2008-11-21 14:55:40,2008-11-21,14:55:40,ToiletFlushDownstairs,ToiletFlushDownstairs,ON,Pat_158,UseToiletUpstairs
63,2008-11-21 15:43:03,2008-11-21,15:43:03,BathroomDoor,BathroomDoor,ON,Pat_158,UseToiletDownstairs
64,2008-11-21 15:43:03,2008-11-21,15:43:03,BathroomDoor,BathroomDoor,ON,Pat_158,UseToiletUpstairs
65,2008-11-21 15:43:08,2008-11-21,15:43:08,Bathtub,Bathtub,ON,Pat_6,TakeShower
66,2008-11-21 15:43:10,2008-11-21,15:43:10,Bathtub,Bathtub,ON,Pat_6,TakeShower
67,2008-11-21 15:43:12,2008-11-21,15:43:12,Bathtub,Bathtub,ON,Pat_6,TakeShower
68,2008-11-21 15:43:18,2008-11-21,15:43:18,Bathtub,Bathtub,ON,Pat_6,TakeShower
69,2008-11-21 15:43:19,2008-11-21,15:43:19,Bathtub,Bathtub,ON,Pat_6,TakeShower
70,2008-11-21 15:43:31,2008-11-21,15:43:31,Bathtub,Bathtub,ON,Pat_6,TakeShower
71,2008-11-21 15:44:10,2008-11-21,15:44:10,BathroomDoor,BathroomDoor,ON,Pat_12,TakeShower
72,2008-11-21 15:44:11,2008-11-21,15:44:11,BathroomDoor,BathroomDoor,ON,Pat_12,TakeShower
73,2008-11-21 15:44:13,2008-11-21,15:44:13,BathroomDoor,BathroomDoor,ON,Pat_12,TakeShower
74,2008-11-21 16:04:12,2008-11-21,16:04:12,BathroomDoor,BathroomDoor,ON,Pat_12,TakeShower
75,2008-11-21 16:05:06,2008-11-21,16:05:06,Bathtub,Bathtub,ON,Pat_52,TakeShower
76,2008-11-21 16:05:08,2008-11-21,16:05:08,Bathtub,Bathtub,ON,Pat_52,TakeShower
77,2008-11-21 16:05:12,2008-11-21,16:05:12,Bathtub,Bathtub,ON,Pat_52,TakeShower
78,2008-11-21 16:17:22,2008-11-21,16:17:22,Bathtub,Bathtub,ON,Pat_52,TakeShower
79,2008-11-21 16:17:29,2008-11-21,16:17:29,Bathtub,Bathtub,ON,Pat_52,TakeShower
80,2008-11-21 16:17:45,2008-11-21,16:17:45,Bathtub,Bathtub,ON,Pat_52,TakeShower
81,2008-11-21 16:25:35,2008-11-21,16:25:35,Bathtub,Bathtub,ON,Pat_52,TakeShower
82,2008-11-21 16:25:40,2008-11-21,16:25:40,Bathtub,Bathtub,ON,Pat_52,TakeShower
83,2008-11-21 16:25:46,2008-11-21,16:25:46,Bathtub,Bathtub,ON,Pat_52,TakeShower
84,2008-11-21 16:25:49,2008-11-21,16:25:49,Bathtub,Bathtub,ON,Pat_52,TakeShower
85,2008-11-21 16:25:53,2008-11-21,16:25:53,Bathtub,Bathtub,ON,Pat_52,TakeShower
