id,timestamp,sensor,action,event,pattern,activity
0,2008-11-21 07:30:47,BedRight,BedRight,ON,Pat_0,GoToBed
1,2008-11-21 07:30:57,BedRight,BedRight,ON,Pat_74,GoToBed
2,2008-11-21 11:21:35,BathroomDoor,BathroomDoor,ON,Pat_74,UseToiletUpstairs
3,2008-11-21 11:23:04,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Other_Activity,None
4,2008-11-21 11:25:26,Dresser,Dresser,ON,Other_Activity,GetDressed
5,2008-11-21 11:25:29,BedLeft,BedLeft,ON,Pat_31,GetDressed
6,2008-11-21 11:25:31,BedLeft,BedLeft,ON,Pat_31,GetDressed
7,2008-11-21 11:27:02,Dresser,Dresser,ON,Pat_87,GetDressed
8,2008-11-21 11:27:45,BedroomDoor,BedroomDoor,ON,Pat_87,None
9,2008-11-21 11:29:47,Couch,Couch,ON,Pat_167,None
10,2008-11-21 11:29:49,Couch,Couch,ON,Pat_167,None
11,2008-11-21 11:29:59,Couch,Couch,ON,Pat_167,None
12,2008-11-21 11:30:06,Couch,Couch,ON,Pat_167,None
13,2008-11-21 11:30:14,Couch,Couch,ON,Pat_167,None
14,2008-11-21 11:30:32,Couch,Couch,ON,Pat_167,None
15,2008-11-21 11:33:32,PlatesCupboard,PlatesCupboard,ON,Pat_167,PrepareBreakfast
16,2008-11-21 11:34:15,Fridge,Fridge,ON,Pat_61,PrepareBreakfast
17,2008-11-21 11:34:41,Freezer,Freezer,ON,Pat_61,PrepareBreakfast
18,2008-11-21 11:34:43,Fridge,Fridge,ON,Pat_61,PrepareBreakfast
19,2008-11-21 11:36:49,Cutlery,Cutlery,ON,Pat_61,PrepareBreakfast
20,2008-11-21 11:37:37,Fridge,Fridge,ON,Pat_61,PrepareBreakfast
21,2008-11-21 11:38:44,Freezer,Freezer,ON,Pat_61,PrepareBreakfast
22,2008-11-21 11:39:06,Fridge,Fridge,ON,Other_Activity,PrepareBreakfast
23,2008-11-21 11:39:23,CupboardCups,CupboardCups,ON,Pat_194,PrepareBreakfast
24,2008-11-21 11:39:25,CupboardCups,CupboardCups,ON,Pat_194,PrepareBreakfast
25,2008-11-21 11:39:27,Cutlery,Cutlery,ON,Pat_194,PrepareBreakfast
26,2008-11-21 11:39:30,Cutlery,Cutlery,ON,Pat_194,PrepareBreakfast
27,2008-11-21 11:39:34,CupboardCups,CupboardCups,ON,Pat_91,PrepareBreakfast
28,2008-11-21 11:39:49,CupboardCups,CupboardCups,ON,Pat_91,PrepareBreakfast
