id,timestamp,sensor,action,event,pattern,activity
0,2008-11-24 07:00:11,BedRight,BedRight,ON,Pat_1,GoToBed
1,2008-11-24 07:00:12,BedRight,BedRight,ON,Pat_1,GoToBed
2,2008-11-24 07:02:48,BedRight,BedRight,ON,Pat_1,GoToBed
3,2008-11-24 07:11:15,BedRight,BedRight,ON,Pat_1,GoToBed
4,2008-11-24 07:14:57,BedRight,BedRight,ON,Pat_1,GoToBed
5,2008-11-24 07:15:05,BedRight,BedRight,ON,Pat_1,GoToBed
6,2008-11-24 07:15:18,BedRight,BedRight,ON,Pat_1,GoToBed
7,2008-11-24 07:15:55,BedRight,BedRight,ON,Pat_1,GoToBed
8,2008-11-24 07:16:04,BedRight,BedRight,ON,Pat_1,GoToBed
9,2008-11-24 07:16:16,BedRight,BedRight,ON,Pat_1,GoToBed
10,2008-11-24 07:27:58,BedRight,BedRight,ON,Pat_1,GoToBed
11,2008-11-24 07:28:00,BedRight,BedRight,ON,Pat_1,GoToBed
12,2008-11-24 07:29:16,BathroomDoor,BathroomDoor,ON,Pat_108,None
13,2008-11-24 07:29:41,BathroomDoor,BathroomDoor,ON,Pat_108,UseToiletUpstairs
14,2008-11-24 07:30:18,Bathtub,Bathtub,ON,Pat_108,UseToiletUpstairs
15,2008-11-24 07:30:36,BathroomDoor,BathroomDoor,ON,Pat_108,None
16,2008-11-24 07:31:12,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_146,None
17,2008-11-24 07:32:28,BedroomDoor,BedroomDoor,ON,Pat_146,None
18,2008-11-24 07:33:39,Microwave,Microwave,ON,Pat_56,None
19,2008-11-24 07:34:04,Microwave,Microwave,ON,Pat_56,None
20,2008-11-24 07:37:06,Fridge,Fridge,ON,Other_Activity,PrepareBreakfast
21,2008-11-24 07:41:09,Microwave,Microwave,ON,Other_Activity,PrepareBreakfast
22,2008-11-24 07:41:50,Fridge,Fridge,ON,Pat_38,PrepareBreakfast
23,2008-11-24 07:41:54,PlatesCupboard,PlatesCupboard,ON,Pat_38,PrepareBreakfast
24,2008-11-24 07:43:34,Dresser,Dresser,ON,Other_Activity,GetDressed
