id,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-22 07:12:57,2008-11-22,07:12:57,BedRight,BedRight,ON,Pat_1,GoToBed
1,2008-11-22 07:38:41,2008-11-22,07:38:41,BedRight,BedRight,ON,Pat_1,GoToBed
2,2008-11-22 07:38:46,2008-11-22,07:38:46,BedRight,BedRight,ON,Pat_1,GoToBed
3,2008-11-22 07:53:14,2008-11-22,07:53:14,BedRight,BedRight,ON,Pat_1,GoToBed
4,2008-11-22 07:54:25,2008-11-22,07:54:25,BedRight,BedRight,ON,Pat_1,GoToBed
5,2008-11-22 07:54:30,2008-11-22,07:54:30,BedRight,BedRight,ON,Pat_1,GoToBed
6,2008-11-22 08:03:09,2008-11-22,08:03:09,BedRight,BedRight,ON,Pat_1,GoToBed
7,2008-11-22 08:26:09,2008-11-22,08:26:09,BedRight,BedRight,ON,Pat_1,GoToBed
8,2008-11-22 08:28:44,2008-11-22,08:28:44,BedRight,BedRight,ON,Pat_1,GoToBed
9,2008-11-22 08:29:29,2008-11-22,08:29:29,BedRight,BedRight,ON,Pat_1,GoToBed
10,2008-11-22 08:29:37,2008-11-22,08:29:37,BedRight,BedRight,ON,Pat_1,GoToBed
11,2008-11-22 08:52:53,2008-11-22,08:52:53,BedRight,BedRight,ON,Pat_1,GoToBed
12,2008-11-22 08:52:57,2008-11-22,08:52:57,BedRight,BedRight,ON,Pat_1,GoToBed
13,2008-11-22 08:54:50,2008-11-22,08:54:50,BedRight,BedRight,ON,Pat_1,GoToBed
14,2008-11-22 08:54:52,2008-11-22,08:54:52,BedRight,BedRight,ON,Pat_1,GoToBed
15,2008-11-22 09:03:21,2008-11-22,09:03:21,BedRight,BedRight,ON,Pat_1,GoToBed
16,2008-11-22 09:03:25,2008-11-22,09:03:25,BedRight,BedRight,ON,Pat_1,GoToBed
17,2008-11-22 09:09:28,2008-11-22,09:09:28,BedRight,BedRight,ON,Pat_1,GoToBed
18,2008-11-22 09:09:33,2008-11-22,09:09:33,BedRight,BedRight,ON,Pat_1,GoToBed
19,2008-11-22 09:36:35,2008-11-22,09:36:35,BedRight,BedRight,ON,Pat_1,GoToBed
20,2008-11-22 09:36:38,2008-11-22,09:36:38,BedRight,BedRight,ON,Pat_1,GoToBed
21,2008-11-22 09:37:33,2008-11-22,09:37:33,BathroomDoor,BathroomDoor,ON,Other_Activity,None
22,2008-11-22 09:38:49,2008-11-22,09:38:49,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
23,2008-11-22 09:39:12,2008-11-22,09:39:12,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
24,2008-11-22 09:39:49,2008-11-22,09:39:49,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
25,2008-11-22 09:39:55,2008-11-22,09:39:55,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
26,2008-11-22 09:39:57,2008-11-22,09:39:57,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
27,2008-11-22 09:39:59,2008-11-22,09:39:59,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
28,2008-11-22 09:40:01,2008-11-22,09:40:01,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
29,2008-11-22 09:40:03,2008-11-22,09:40:03,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
30,2008-11-22 09:40:05,2008-11-22,09:40:05,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
31,2008-11-22 09:40:11,2008-11-22,09:40:11,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
32,2008-11-22 09:40:15,2008-11-22,09:40:15,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
33,2008-11-22 09:40:18,2008-11-22,09:40:18,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
34,2008-11-22 09:40:21,2008-11-22,09:40:21,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
35,2008-11-22 09:40:25,2008-11-22,09:40:25,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
36,2008-11-22 09:40:27,2008-11-22,09:40:27,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
37,2008-11-22 09:40:29,2008-11-22,09:40:29,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
38,2008-11-22 09:40:31,2008-11-22,09:40:31,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
39,2008-11-22 09:40:33,2008-11-22,09:40:33,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
40,2008-11-22 09:40:35,2008-11-22,09:40:35,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
41,2008-11-22 09:40:37,2008-11-22,09:40:37,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
42,2008-11-22 09:40:42,2008-11-22,09:40:42,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
43,2008-11-22 09:40:44,2008-11-22,09:40:44,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
44,2008-11-22 09:40:46,2008-11-22,09:40:46,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
45,2008-11-22 09:40:48,2008-11-22,09:40:48,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
46,2008-11-22 09:40:50,2008-11-22,09:40:50,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
47,2008-11-22 09:40:53,2008-11-22,09:40:53,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
48,2008-11-22 09:40:55,2008-11-22,09:40:55,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
49,2008-11-22 09:40:59,2008-11-22,09:40:59,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
50,2008-11-22 09:41:01,2008-11-22,09:41:01,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
51,2008-11-22 09:41:02,2008-11-22,09:41:02,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
52,2008-11-22 09:41:05,2008-11-22,09:41:05,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
53,2008-11-22 09:41:07,2008-11-22,09:41:07,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
54,2008-11-22 09:41:10,2008-11-22,09:41:10,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
55,2008-11-22 09:41:11,2008-11-22,09:41:11,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
56,2008-11-22 09:41:12,2008-11-22,09:41:12,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
57,2008-11-22 09:41:15,2008-11-22,09:41:15,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
58,2008-11-22 09:41:17,2008-11-22,09:41:17,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
59,2008-11-22 09:41:21,2008-11-22,09:41:21,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
60,2008-11-22 09:41:24,2008-11-22,09:41:24,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
61,2008-11-22 09:41:26,2008-11-22,09:41:26,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
62,2008-11-22 09:41:28,2008-11-22,09:41:28,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
