id,timestamp,sensor,action,event,pattern,activity
0,2008-11-22 07:12:57,BedRight,BedRight,ON,Pat_1,GoToBed
1,2008-11-22 07:38:41,BedRight,BedRight,ON,Pat_1,GoToBed
2,2008-11-22 07:38:46,BedRight,BedRight,ON,Pat_1,GoToBed
3,2008-11-22 07:53:14,BedRight,BedRight,ON,Pat_1,GoToBed
4,2008-11-22 07:54:25,BedRight,BedRight,ON,Pat_1,GoToBed
5,2008-11-22 07:54:30,BedRight,BedRight,ON,Pat_1,GoToBed
6,2008-11-22 08:03:09,BedRight,BedRight,ON,Pat_1,GoToBed
7,2008-11-22 08:26:09,BedRight,BedRight,ON,Pat_1,GoToBed
8,2008-11-22 08:28:44,BedRight,BedRight,ON,Pat_1,GoToBed
9,2008-11-22 08:29:29,BedRight,BedRight,ON,Pat_1,GoToBed
10,2008-11-22 08:29:37,BedRight,BedRight,ON,Pat_1,GoToBed
11,2008-11-22 08:52:53,BedRight,BedRight,ON,Pat_1,GoToBed
12,2008-11-22 08:52:57,BedRight,BedRight,ON,Pat_1,GoToBed
13,2008-11-22 08:54:50,BedRight,BedRight,ON,Pat_1,GoToBed
14,2008-11-22 08:54:52,BedRight,BedRight,ON,Pat_1,GoToBed
15,2008-11-22 09:03:21,BedRight,BedRight,ON,Pat_1,GoToBed
16,2008-11-22 09:03:25,BedRight,BedRight,ON,Pat_1,GoToBed
17,2008-11-22 09:09:28,BedRight,BedRight,ON,Pat_1,GoToBed
18,2008-11-22 09:09:33,BedRight,BedRight,ON,Pat_1,GoToBed
19,2008-11-22 09:36:35,BedRight,BedRight,ON,Pat_1,GoToBed
20,2008-11-22 09:36:38,BedRight,BedRight,ON,Pat_1,GoToBed
21,2008-11-22 09:37:33,BathroomDoor,BathroomDoor,ON,Other_Activity,UseToiletUpstairs
22,2008-11-22 09:38:49,Bathtub,Bathtub,ON,Pat_6,TakeShower
23,2008-11-22 09:39:12,Bathtub,Bathtub,ON,Pat_6,TakeShower
24,2008-11-22 09:39:49,Bathtub,Bathtub,ON,Pat_6,TakeShower
25,2008-11-22 09:39:55,Bathtub,Bathtub,ON,Pat_6,TakeShower
26,2008-11-22 09:39:57,Bathtub,Bathtub,ON,Pat_6,TakeShower
27,2008-11-22 09:39:59,Bathtub,Bathtub,ON,Pat_6,TakeShower
28,2008-11-22 09:40:01,Bathtub,Bathtub,ON,Pat_6,TakeShower
29,2008-11-22 09:40:03,Bathtub,Bathtub,ON,Pat_6,TakeShower
30,2008-11-22 09:40:05,Bathtub,Bathtub,ON,Pat_6,TakeShower
31,2008-11-22 09:40:11,Bathtub,Bathtub,ON,Pat_6,TakeShower
32,2008-11-22 09:40:15,Bathtub,Bathtub,ON,Pat_6,TakeShower
33,2008-11-22 09:40:18,Bathtub,Bathtub,ON,Pat_6,TakeShower
34,2008-11-22 09:40:21,Bathtub,Bathtub,ON,Pat_6,TakeShower
35,2008-11-22 09:40:25,Bathtub,Bathtub,ON,Pat_6,TakeShower
36,2008-11-22 09:40:27,Bathtub,Bathtub,ON,Pat_6,TakeShower
37,2008-11-22 09:40:29,Bathtub,Bathtub,ON,Pat_6,TakeShower
38,2008-11-22 09:40:31,Bathtub,Bathtub,ON,Pat_6,TakeShower
39,2008-11-22 09:40:33,Bathtub,Bathtub,ON,Pat_6,TakeShower
40,2008-11-22 09:40:35,Bathtub,Bathtub,ON,Pat_6,TakeShower
41,2008-11-22 09:40:37,Bathtub,Bathtub,ON,Pat_6,TakeShower
42,2008-11-22 09:40:42,Bathtub,Bathtub,ON,Pat_6,TakeShower
43,2008-11-22 09:40:44,Bathtub,Bathtub,ON,Pat_6,TakeShower
44,2008-11-22 09:40:46,Bathtub,Bathtub,ON,Pat_6,TakeShower
45,2008-11-22 09:40:48,Bathtub,Bathtub,ON,Pat_6,TakeShower
46,2008-11-22 09:40:50,Bathtub,Bathtub,ON,Pat_6,TakeShower
47,2008-11-22 09:40:53,Bathtub,Bathtub,ON,Pat_6,TakeShower
48,2008-11-22 09:40:55,Bathtub,Bathtub,ON,Pat_6,TakeShower
49,2008-11-22 09:40:59,Bathtub,Bathtub,ON,Pat_6,TakeShower
50,2008-11-22 09:41:01,Bathtub,Bathtub,ON,Pat_6,TakeShower
51,2008-11-22 09:41:02,Bathtub,Bathtub,ON,Pat_6,TakeShower
52,2008-11-22 09:41:05,Bathtub,Bathtub,ON,Pat_6,TakeShower
53,2008-11-22 09:41:07,Bathtub,Bathtub,ON,Pat_6,TakeShower
54,2008-11-22 09:41:10,Bathtub,Bathtub,ON,Pat_6,TakeShower
55,2008-11-22 09:41:11,Bathtub,Bathtub,ON,Pat_6,TakeShower
56,2008-11-22 09:41:12,Bathtub,Bathtub,ON,Pat_6,TakeShower
57,2008-11-22 09:41:15,Bathtub,Bathtub,ON,Pat_6,TakeShower
58,2008-11-22 09:41:17,Bathtub,Bathtub,ON,Pat_6,TakeShower
59,2008-11-22 09:41:21,Bathtub,Bathtub,ON,Pat_6,TakeShower
60,2008-11-22 09:41:24,Bathtub,Bathtub,ON,Pat_6,TakeShower
61,2008-11-22 09:41:26,Bathtub,Bathtub,ON,Pat_6,TakeShower
62,2008-11-22 09:41:28,Bathtub,Bathtub,ON,Pat_6,TakeShower
63,2008-11-22 09:41:31,Bathtub,Bathtub,ON,Pat_6,TakeShower
64,2008-11-22 09:41:34,Bathtub,Bathtub,ON,Pat_6,TakeShower
65,2008-11-22 09:41:37,Bathtub,Bathtub,ON,Pat_6,TakeShower
66,2008-11-22 09:41:39,Bathtub,Bathtub,ON,Pat_6,TakeShower
67,2008-11-22 09:41:41,Bathtub,Bathtub,ON,Pat_6,TakeShower
68,2008-11-22 09:41:43,Bathtub,Bathtub,ON,Pat_6,TakeShower
69,2008-11-22 09:41:45,Bathtub,Bathtub,ON,Pat_6,TakeShower
70,2008-11-22 09:41:52,Bathtub,Bathtub,ON,Pat_6,TakeShower
71,2008-11-22 09:41:54,Bathtub,Bathtub,ON,Pat_6,TakeShower
72,2008-11-22 09:41:58,Bathtub,Bathtub,ON,Pat_6,TakeShower
73,2008-11-22 09:42:00,Bathtub,Bathtub,ON,Pat_6,TakeShower
74,2008-11-22 09:42:02,Bathtub,Bathtub,ON,Pat_6,TakeShower
75,2008-11-22 09:42:05,Bathtub,Bathtub,ON,Pat_6,TakeShower
76,2008-11-22 09:42:08,Bathtub,Bathtub,ON,Pat_6,TakeShower
77,2008-11-22 09:42:11,Bathtub,Bathtub,ON,Pat_6,TakeShower
78,2008-11-22 09:42:14,Bathtub,Bathtub,ON,Pat_6,TakeShower
79,2008-11-22 09:42:15,Bathtub,Bathtub,ON,Pat_6,TakeShower
80,2008-11-22 09:42:20,Bathtub,Bathtub,ON,Pat_6,TakeShower
81,2008-11-22 09:42:22,Bathtub,Bathtub,ON,Pat_6,TakeShower
82,2008-11-22 09:42:24,Bathtub,Bathtub,ON,Pat_6,TakeShower
83,2008-11-22 09:42:28,Bathtub,Bathtub,ON,Pat_6,TakeShower
84,2008-11-22 09:42:31,Bathtub,Bathtub,ON,Pat_6,TakeShower
85,2008-11-22 09:42:35,Bathtub,Bathtub,ON,Pat_6,TakeShower
86,2008-11-22 09:42:37,Bathtub,Bathtub,ON,Pat_6,TakeShower
87,2008-11-22 09:42:39,Bathtub,Bathtub,ON,Pat_6,TakeShower
88,2008-11-22 09:42:42,Bathtub,Bathtub,ON,Pat_6,TakeShower
89,2008-11-22 09:42:44,Bathtub,Bathtub,ON,Pat_6,TakeShower
90,2008-11-22 09:42:48,Bathtub,Bathtub,ON,Pat_6,TakeShower
