id,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-23 07:06:19,2008-11-23,07:06:19,BedRight,BedRight,ON,Pat_1,GoToBed
1,2008-11-23 07:06:49,2008-11-23,07:06:49,BedRight,BedRight,ON,Pat_1,GoToBed
2,2008-11-23 07:07:11,2008-11-23,07:07:11,BedRight,BedRight,ON,Pat_1,GoToBed
3,2008-11-23 07:07:14,2008-11-23,07:07:14,BedRight,BedRight,ON,Pat_1,GoToBed
4,2008-11-23 07:07:23,2008-11-23,07:07:23,BedRight,BedRight,ON,Pat_1,GoToBed
5,2008-11-23 07:07:25,2008-11-23,07:07:25,BedRight,BedRight,ON,Pat_1,GoToBed
6,2008-11-23 07:07:31,2008-11-23,07:07:31,BedRight,BedRight,ON,Pat_1,GoToBed
7,2008-11-23 07:07:33,2008-11-23,07:07:33,BedRight,BedRight,ON,Pat_1,GoToBed
8,2008-11-23 07:07:36,2008-11-23,07:07:36,BedRight,BedRight,ON,Pat_1,GoToBed
9,2008-11-23 07:07:39,2008-11-23,07:07:39,BedRight,BedRight,ON,Pat_1,GoToBed
10,2008-11-23 07:07:41,2008-11-23,07:07:41,BedRight,BedRight,ON,Pat_1,GoToBed
11,2008-11-23 07:07:43,2008-11-23,07:07:43,BedRight,BedRight,ON,Pat_1,GoToBed
12,2008-11-23 07:07:45,2008-11-23,07:07:45,BedRight,BedRight,ON,Pat_1,GoToBed
13,2008-11-23 07:07:51,2008-11-23,07:07:51,BedRight,BedRight,ON,Pat_1,GoToBed
14,2008-11-23 07:07:54,2008-11-23,07:07:54,BedRight,BedRight,ON,Pat_1,GoToBed
15,2008-11-23 07:07:57,2008-11-23,07:07:57,BedRight,BedRight,ON,Pat_1,GoToBed
16,2008-11-23 07:08:09,2008-11-23,07:08:09,BedRight,BedRight,ON,Pat_1,GoToBed
17,2008-11-23 07:08:11,2008-11-23,07:08:11,BedRight,BedRight,ON,Pat_1,GoToBed
18,2008-11-23 07:08:22,2008-11-23,07:08:22,BedRight,BedRight,ON,Pat_1,GoToBed
19,2008-11-23 07:08:29,2008-11-23,07:08:29,BedRight,BedRight,ON,Pat_1,GoToBed
20,2008-11-23 07:08:31,2008-11-23,07:08:31,BedRight,BedRight,ON,Pat_1,GoToBed
21,2008-11-23 07:08:34,2008-11-23,07:08:34,BedRight,BedRight,ON,Pat_1,GoToBed
22,2008-11-23 07:08:36,2008-11-23,07:08:36,BedRight,BedRight,ON,Pat_1,GoToBed
23,2008-11-23 07:08:38,2008-11-23,07:08:38,BedRight,BedRight,ON,Pat_1,GoToBed
24,2008-11-23 07:08:41,2008-11-23,07:08:41,BedRight,BedRight,ON,Pat_1,GoToBed
25,2008-11-23 07:08:46,2008-11-23,07:08:46,BedRight,BedRight,ON,Pat_1,GoToBed
26,2008-11-23 07:08:48,2008-11-23,07:08:48,BedRight,BedRight,ON,Pat_1,GoToBed
27,2008-11-23 07:09:01,2008-11-23,07:09:01,BedRight,BedRight,ON,Pat_1,GoToBed
28,2008-11-23 07:09:04,2008-11-23,07:09:04,BedRight,BedRight,ON,Pat_1,GoToBed
29,2008-11-23 07:09:08,2008-11-23,07:09:08,BedRight,BedRight,ON,Pat_1,GoToBed
30,2008-11-23 07:09:12,2008-11-23,07:09:12,BedRight,BedRight,ON,Pat_1,GoToBed
31,2008-11-23 07:09:14,2008-11-23,07:09:14,BedRight,BedRight,ON,Pat_1,GoToBed
32,2008-11-23 07:09:17,2008-11-23,07:09:17,BedRight,BedRight,ON,Pat_1,GoToBed
33,2008-11-23 07:09:19,2008-11-23,07:09:19,BedRight,BedRight,ON,Pat_1,GoToBed
34,2008-11-23 07:09:22,2008-11-23,07:09:22,BedRight,BedRight,ON,Pat_1,GoToBed
35,2008-11-23 07:09:26,2008-11-23,07:09:26,BedRight,BedRight,ON,Pat_1,GoToBed
36,2008-11-23 07:09:28,2008-11-23,07:09:28,BedRight,BedRight,ON,Pat_1,GoToBed
37,2008-11-23 07:09:34,2008-11-23,07:09:34,BedRight,BedRight,ON,Pat_1,GoToBed
38,2008-11-23 07:09:36,2008-11-23,07:09:36,BedRight,BedRight,ON,Pat_1,GoToBed
