id,timestamp,sensor,action,event,pattern,activity
0,2008-11-23 07:06:19,BedRight,BedRight,ON,Pat_1,GoToBed
1,2008-11-23 07:06:49,BedRight,BedRight,ON,Pat_1,GoToBed
2,2008-11-23 07:07:11,BedRight,BedRight,ON,Pat_1,GoToBed
3,2008-11-23 07:07:14,BedRight,BedRight,ON,Pat_1,GoToBed
4,2008-11-23 07:07:23,BedRight,BedRight,ON,Pat_1,GoToBed
5,2008-11-23 07:07:25,BedRight,BedRight,ON,Pat_1,GoToBed
6,2008-11-23 07:07:31,BedRight,BedRight,ON,Pat_1,GoToBed
7,2008-11-23 07:07:33,BedRight,BedRight,ON,Pat_1,GoToBed
8,2008-11-23 07:07:36,BedRight,BedRight,ON,Pat_1,GoToBed
9,2008-11-23 07:07:39,BedRight,BedRight,ON,Pat_1,GoToBed
10,2008-11-23 07:07:41,BedRight,BedRight,ON,Pat_1,GoToBed
11,2008-11-23 07:07:43,BedRight,BedRight,ON,Pat_1,GoToBed
12,2008-11-23 07:07:45,BedRight,BedRight,ON,Pat_1,GoToBed
13,2008-11-23 07:07:51,BedRight,BedRight,ON,Pat_1,GoToBed
14,2008-11-23 07:07:54,BedRight,BedRight,ON,Pat_1,GoToBed
15,2008-11-23 07:07:57,BedRight,BedRight,ON,Pat_1,GoToBed
16,2008-11-23 07:08:09,BedRight,BedRight,ON,Pat_1,GoToBed
17,2008-11-23 07:08:11,BedRight,BedRight,ON,Pat_1,GoToBed
18,2008-11-23 07:08:22,BedRight,BedRight,ON,Pat_1,GoToBed
19,2008-11-23 07:08:29,BedRight,BedRight,ON,Pat_1,GoToBed
20,2008-11-23 07:08:31,BedRight,BedRight,ON,Pat_1,GoToBed
21,2008-11-23 07:08:34,BedRight,BedRight,ON,Pat_1,GoToBed
22,2008-11-23 07:08:36,BedRight,BedRight,ON,Pat_1,GoToBed
23,2008-11-23 07:08:38,BedRight,BedRight,ON,Pat_1,GoToBed
24,2008-11-23 07:08:41,BedRight,BedRight,ON,Pat_1,GoToBed
25,2008-11-23 07:08:46,BedRight,BedRight,ON,Pat_1,GoToBed
26,2008-11-23 07:08:48,BedRight,BedRight,ON,Pat_1,GoToBed
27,2008-11-23 07:09:01,BedRight,BedRight,ON,Pat_1,GoToBed
28,2008-11-23 07:09:04,BedRight,BedRight,ON,Pat_1,GoToBed
29,2008-11-23 07:09:08,BedRight,BedRight,ON,Pat_1,GoToBed
30,2008-11-23 07:09:12,BedRight,BedRight,ON,Pat_1,GoToBed
31,2008-11-23 07:09:14,BedRight,BedRight,ON,Pat_1,GoToBed
32,2008-11-23 07:09:17,BedRight,BedRight,ON,Pat_1,GoToBed
33,2008-11-23 07:09:19,BedRight,BedRight,ON,Pat_1,GoToBed
34,2008-11-23 07:09:22,BedRight,BedRight,ON,Pat_1,GoToBed
35,2008-11-23 07:09:26,BedRight,BedRight,ON,Pat_1,GoToBed
36,2008-11-23 07:09:28,BedRight,BedRight,ON,Pat_1,GoToBed
37,2008-11-23 07:09:34,BedRight,BedRight,ON,Pat_1,GoToBed
38,2008-11-23 07:09:36,BedRight,BedRight,ON,Pat_1,GoToBed
39,2008-11-23 07:09:38,BedRight,BedRight,ON,Pat_1,GoToBed
40,2008-11-23 07:09:41,BedRight,BedRight,ON,Pat_1,GoToBed
41,2008-11-23 07:09:43,BedRight,BedRight,ON,Pat_1,GoToBed
42,2008-11-23 07:09:47,BedRight,BedRight,ON,Pat_1,GoToBed
43,2008-11-23 07:09:51,BedRight,BedRight,ON,Pat_1,GoToBed
44,2008-11-23 07:09:52,BedRight,BedRight,ON,Pat_1,GoToBed
45,2008-11-23 07:09:54,BedRight,BedRight,ON,Pat_1,GoToBed
46,2008-11-23 07:09:58,BedRight,BedRight,ON,Pat_1,GoToBed
47,2008-11-23 07:10:01,BedRight,BedRight,ON,Pat_1,GoToBed
48,2008-11-23 07:10:04,BedRight,BedRight,ON,Pat_1,GoToBed
49,2008-11-23 07:10:05,BedRight,BedRight,ON,Pat_1,GoToBed
50,2008-11-23 07:10:09,BedRight,BedRight,ON,Pat_1,GoToBed
51,2008-11-23 07:10:13,BedRight,BedRight,ON,Pat_1,GoToBed
52,2008-11-23 07:10:15,BedRight,BedRight,ON,Pat_1,GoToBed
53,2008-11-23 07:10:17,BedRight,BedRight,ON,Pat_1,GoToBed
54,2008-11-23 07:10:20,BedRight,BedRight,ON,Pat_1,GoToBed
55,2008-11-23 07:10:24,BedRight,BedRight,ON,Pat_1,GoToBed
56,2008-11-23 07:10:29,BedRight,BedRight,ON,Pat_1,GoToBed
57,2008-11-23 07:10:33,BedRight,BedRight,ON,Pat_1,GoToBed
58,2008-11-23 07:10:37,BedRight,BedRight,ON,Pat_1,GoToBed
59,2008-11-23 07:10:39,BedRight,BedRight,ON,Pat_1,GoToBed
60,2008-11-23 07:10:41,BedRight,BedRight,ON,Pat_1,GoToBed
61,2008-11-23 07:10:44,BedRight,BedRight,ON,Pat_1,GoToBed
62,2008-11-23 07:10:48,BedRight,BedRight,ON,Pat_1,GoToBed
63,2008-11-23 07:10:51,BedRight,BedRight,ON,Pat_1,GoToBed
64,2008-11-23 07:10:54,BedRight,BedRight,ON,Pat_1,GoToBed
65,2008-11-23 07:10:57,BedRight,BedRight,ON,Pat_1,GoToBed
66,2008-11-23 07:10:59,BedRight,BedRight,ON,Pat_1,GoToBed
67,2008-11-23 07:11:02,BedRight,BedRight,ON,Pat_1,GoToBed
68,2008-11-23 07:11:04,BedRight,BedRight,ON,Pat_1,GoToBed
69,2008-11-23 07:11:07,BedRight,BedRight,ON,Pat_1,GoToBed
70,2008-11-23 07:11:09,BedRight,BedRight,ON,Pat_1,GoToBed
71,2008-11-23 07:11:11,BedRight,BedRight,ON,Pat_1,GoToBed
72,2008-11-23 07:11:13,BedRight,BedRight,ON,Pat_1,GoToBed
73,2008-11-23 07:11:16,BedRight,BedRight,ON,Pat_1,GoToBed
74,2008-11-23 07:11:20,BedRight,BedRight,ON,Pat_1,GoToBed
75,2008-11-23 07:11:23,BedRight,BedRight,ON,Pat_1,GoToBed
76,2008-11-23 07:11:27,BedRight,BedRight,ON,Pat_1,GoToBed
77,2008-11-23 07:11:31,BedRight,BedRight,ON,Pat_1,GoToBed
78,2008-11-23 07:11:37,BedRight,BedRight,ON,Pat_1,GoToBed
79,2008-11-23 07:11:44,BedRight,BedRight,ON,Pat_1,GoToBed
80,2008-11-23 07:11:46,BedRight,BedRight,ON,Pat_1,GoToBed
81,2008-11-23 07:11:48,BedRight,BedRight,ON,Pat_1,GoToBed
82,2008-11-23 07:11:53,BedRight,BedRight,ON,Pat_1,GoToBed
83,2008-11-23 07:11:58,BedRight,BedRight,ON,Pat_1,GoToBed
