id,timestamp,sensor,action,event,pattern,activity
0,2008-11-20 07:00:01,BedRight,BedRight,ON,Pat_0,GoToBed
1,2008-11-20 07:00:09,BedRight,BedRight,ON,Pat_0,GoToBed
2,2008-11-20 07:00:12,BedRight,BedRight,ON,Pat_0,GoToBed
3,2008-11-20 07:00:18,BedRight,BedRight,ON,Pat_0,GoToBed
4,2008-11-20 07:00:59,BedRight,BedRight,ON,Pat_0,GoToBed
5,2008-11-20 07:01:08,BedRight,BedRight,ON,Pat_0,GoToBed
6,2008-11-20 07:01:11,BedRight,BedRight,ON,Pat_0,GoToBed
7,2008-11-20 07:01:24,BedRight,BedRight,ON,Pat_0,GoToBed
8,2008-11-20 07:01:31,BedRight,BedRight,ON,Pat_0,GoToBed
9,2008-11-20 07:01:39,BedRight,BedRight,ON,Pat_0,GoToBed
10,2008-11-20 07:01:47,BedRight,BedRight,ON,Pat_0,GoToBed
11,2008-11-20 07:01:51,BedRight,BedRight,ON,Pat_0,GoToBed
12,2008-11-20 07:02:02,BedRight,BedRight,ON,Pat_0,GoToBed
13,2008-11-20 07:02:08,BedRight,BedRight,ON,Pat_0,GoToBed
14,2008-11-20 07:02:20,BedRight,BedRight,ON,Pat_0,GoToBed
15,2008-11-20 07:02:39,BedRight,BedRight,ON,Pat_0,GoToBed
16,2008-11-20 07:02:52,BedRight,BedRight,ON,Pat_0,GoToBed
17,2008-11-20 07:06:33,BedRight,BedRight,ON,Pat_0,GoToBed
18,2008-11-20 07:09:12,BedRight,BedRight,ON,Pat_0,GoToBed
19,2008-11-20 07:12:45,BedRight,BedRight,ON,Pat_0,GoToBed
20,2008-11-20 07:17:31,BedRight,BedRight,ON,Pat_0,GoToBed
21,2008-11-20 07:17:33,BedRight,BedRight,ON,Pat_0,GoToBed
22,2008-11-20 07:17:35,BedRight,BedRight,ON,Pat_0,GoToBed
23,2008-11-20 07:17:38,BedRight,BedRight,ON,Pat_0,GoToBed
24,2008-11-20 07:17:40,BedRight,BedRight,ON,Pat_0,GoToBed
25,2008-11-20 07:17:42,BedRight,BedRight,ON,Pat_0,GoToBed
26,2008-11-20 07:17:45,BedRight,BedRight,ON,Pat_0,GoToBed
27,2008-11-20 07:17:53,BedRight,BedRight,ON,Pat_0,GoToBed
28,2008-11-20 07:17:56,BedRight,BedRight,ON,Pat_0,GoToBed
29,2008-11-20 07:17:58,BedRight,BedRight,ON,Pat_0,GoToBed
30,2008-11-20 07:18:15,BedRight,BedRight,ON,Pat_0,GoToBed
31,2008-11-20 07:18:23,BedRight,BedRight,ON,Pat_0,GoToBed
32,2008-11-20 07:18:30,BedRight,BedRight,ON,Pat_0,GoToBed
33,2008-11-20 07:18:32,BedRight,BedRight,ON,Pat_0,GoToBed
34,2008-11-20 07:18:34,BedRight,BedRight,ON,Pat_0,GoToBed
35,2008-11-20 07:18:37,BedRight,BedRight,ON,Pat_0,GoToBed
36,2008-11-20 07:18:42,BedRight,BedRight,ON,Pat_0,GoToBed
37,2008-11-20 07:18:45,BedRight,BedRight,ON,Pat_0,GoToBed
38,2008-11-20 07:18:48,BedRight,BedRight,ON,Pat_0,GoToBed
39,2008-11-20 07:18:52,BedRight,BedRight,ON,Pat_0,GoToBed
40,2008-11-20 07:18:54,BedRight,BedRight,ON,Pat_0,GoToBed
41,2008-11-20 07:18:59,BedRight,BedRight,ON,Pat_0,GoToBed
42,2008-11-20 07:19:02,BedRight,BedRight,ON,Pat_0,GoToBed
43,2008-11-20 07:19:05,BedRight,BedRight,ON,Pat_0,GoToBed
44,2008-11-20 07:19:07,BedRight,BedRight,ON,Pat_0,GoToBed
45,2008-11-20 07:19:11,BedRight,BedRight,ON,Pat_0,GoToBed
46,2008-11-20 07:19:13,BedRight,BedRight,ON,Pat_0,GoToBed
47,2008-11-20 07:19:15,BedRight,BedRight,ON,Pat_0,GoToBed
48,2008-11-20 07:19:20,BedRight,BedRight,ON,Pat_0,GoToBed
49,2008-11-20 07:19:24,BedRight,BedRight,ON,Pat_0,GoToBed
50,2008-11-20 07:19:26,BedRight,BedRight,ON,Pat_0,GoToBed
51,2008-11-20 07:19:29,BedRight,BedRight,ON,Pat_0,GoToBed
52,2008-11-20 07:19:37,BedRight,BedRight,ON,Pat_0,GoToBed
53,2008-11-20 07:19:44,BedRight,BedRight,ON,Pat_0,GoToBed
54,2008-11-20 07:19:48,BedRight,BedRight,ON,Pat_0,GoToBed
55,2008-11-20 07:20:05,BedRight,BedRight,ON,Pat_0,GoToBed
56,2008-11-20 07:20:14,BedRight,BedRight,ON,Pat_0,GoToBed
57,2008-11-20 07:21:56,BedRight,BedRight,ON,Pat_0,GoToBed
58,2008-11-20 07:21:59,BedRight,BedRight,ON,Pat_0,GoToBed
59,2008-11-20 07:22:17,BedRight,BedRight,ON,Pat_0,GoToBed
60,2008-11-20 07:22:41,BedRight,BedRight,ON,Pat_0,GoToBed
61,2008-11-20 07:22:43,BedRight,BedRight,ON,Pat_0,GoToBed
62,2008-11-20 07:22:46,BedRight,BedRight,ON,Pat_0,GoToBed
63,2008-11-20 07:22:57,BedRight,BedRight,ON,Pat_0,GoToBed
64,2008-11-20 07:23:00,BedRight,BedRight,ON,Pat_0,GoToBed
65,2008-11-20 07:23:02,BedRight,BedRight,ON,Pat_0,GoToBed
66,2008-11-20 07:23:03,BedRight,BedRight,ON,Pat_0,GoToBed
67,2008-11-20 07:23:08,BedRight,BedRight,ON,Pat_0,GoToBed
68,2008-11-20 07:23:12,BedRight,BedRight,ON,Pat_0,GoToBed
69,2008-11-20 07:23:15,BedRight,BedRight,ON,Pat_0,GoToBed
70,2008-11-20 07:23:17,BedRight,BedRight,ON,Pat_0,GoToBed
71,2008-11-20 07:23:19,BedRight,BedRight,ON,Pat_0,GoToBed
72,2008-11-20 07:23:21,BedRight,BedRight,ON,Pat_0,GoToBed
73,2008-11-20 07:23:29,BedRight,BedRight,ON,Pat_0,GoToBed
74,2008-11-20 07:23:31,BedRight,BedRight,ON,Pat_0,GoToBed
75,2008-11-20 07:23:38,BedRight,BedRight,ON,Pat_0,GoToBed
76,2008-11-20 07:23:46,BedRight,BedRight,ON,Pat_0,GoToBed
77,2008-11-20 07:23:53,BedRight,BedRight,ON,Pat_0,GoToBed
78,2008-11-20 07:24:04,BedRight,BedRight,ON,Pat_0,GoToBed
