id,timestamp,sensor,action,event,pattern,activity
0,2008-11-25 07:00:08,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_52,None
1,2008-11-25 07:00:27,Bathtub,Bathtub,ON,Pat_52,TakeShower
2,2008-11-25 07:00:30,Bathtub,Bathtub,ON,Pat_52,TakeShower
3,2008-11-25 07:00:33,Bathtub,Bathtub,ON,Pat_52,TakeShower
4,2008-11-25 07:00:34,Bathtub,Bathtub,ON,Pat_52,TakeShower
5,2008-11-25 07:00:36,Bathtub,Bathtub,ON,Pat_52,TakeShower
6,2008-11-25 07:01:26,Bathtub,Bathtub,ON,Pat_52,TakeShower
7,2008-11-25 07:01:28,Bathtub,Bathtub,ON,Pat_52,TakeShower
8,2008-11-25 07:01:30,Bathtub,Bathtub,ON,Pat_52,TakeShower
9,2008-11-25 07:01:32,Bathtub,Bathtub,ON,Pat_52,TakeShower
10,2008-11-25 07:01:34,Bathtub,Bathtub,ON,Pat_52,TakeShower
11,2008-11-25 07:01:36,Bathtub,Bathtub,ON,Pat_52,TakeShower
12,2008-11-25 07:01:39,Bathtub,Bathtub,ON,Pat_52,TakeShower
13,2008-11-25 07:01:42,Bathtub,Bathtub,ON,Pat_52,TakeShower
14,2008-11-25 07:01:44,Bathtub,Bathtub,ON,Pat_52,TakeShower
15,2008-11-25 07:01:47,Bathtub,Bathtub,ON,Pat_52,TakeShower
16,2008-11-25 07:01:48,Bathtub,Bathtub,ON,Pat_52,TakeShower
17,2008-11-25 07:01:50,Bathtub,Bathtub,ON,Pat_52,TakeShower
18,2008-11-25 07:01:52,Bathtub,Bathtub,ON,Pat_52,TakeShower
19,2008-11-25 07:01:54,Bathtub,Bathtub,ON,Pat_52,TakeShower
20,2008-11-25 07:01:56,Bathtub,Bathtub,ON,Pat_52,TakeShower
21,2008-11-25 07:01:58,Bathtub,Bathtub,ON,Pat_52,TakeShower
22,2008-11-25 07:02:01,Bathtub,Bathtub,ON,Pat_52,TakeShower
23,2008-11-25 07:02:04,Bathtub,Bathtub,ON,Pat_52,TakeShower
24,2008-11-25 07:02:06,Bathtub,Bathtub,ON,Pat_52,TakeShower
25,2008-11-25 07:02:08,Bathtub,Bathtub,ON,Pat_52,TakeShower
26,2008-11-25 07:02:13,Bathtub,Bathtub,ON,Pat_52,TakeShower
27,2008-11-25 07:02:15,Bathtub,Bathtub,ON,Pat_52,TakeShower
28,2008-11-25 07:02:17,Bathtub,Bathtub,ON,Pat_52,TakeShower
29,2008-11-25 07:02:20,Bathtub,Bathtub,ON,Pat_52,TakeShower
30,2008-11-25 07:02:22,Bathtub,Bathtub,ON,Pat_52,TakeShower
31,2008-11-25 07:02:24,Bathtub,Bathtub,ON,Pat_52,TakeShower
32,2008-11-25 07:02:26,Bathtub,Bathtub,ON,Pat_52,TakeShower
33,2008-11-25 07:02:28,Bathtub,Bathtub,ON,Pat_52,TakeShower
34,2008-11-25 07:02:30,Bathtub,Bathtub,ON,Pat_52,TakeShower
