id,timestamp,sensor,action,event,pattern,activity
0,2008-11-19 22:47:46,Frontdoor,Frontdoor,ON,Pat_15,None
1,2008-11-19 22:49:20,Frontdoor,Frontdoor,ON,Pat_15,LeaveHouse
2,2008-11-19 22:49:24,Frontdoor,Frontdoor,ON,Pat_15,LeaveHouse
3,2008-11-19 22:50:18,Frontdoor,Frontdoor,ON,Pat_15,None
4,2008-11-19 22:51:02,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
5,2008-11-19 22:51:04,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
6,2008-11-19 22:51:49,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,None
7,2008-11-19 22:52:17,ToiletFlushDownstairs,ToiletFlushDownstairs,ON,Pat_158,None
8,2008-11-19 22:59:12,PlatesCupboard,PlatesCupboard,ON,Pat_158,None
9,2008-11-19 22:59:53,Fridge,Fridge,ON,Pat_38,GetDrink
10,2008-11-19 23:00:06,Fridge,Fridge,ON,Pat_38,None
11,2008-11-19 23:00:26,PlatesCupboard,PlatesCupboard,ON,Pat_38,None
12,2008-11-19 23:01:13,Couch,Couch,ON,Pat_4,Relax
13,2008-11-19 23:01:21,Couch,Couch,ON,Pat_4,Relax
14,2008-11-19 23:02:40,Couch,Couch,ON,Pat_4,Relax
15,2008-11-19 23:18:40,Couch,Couch,ON,Pat_4,Relax
16,2008-11-19 23:18:59,Couch,Couch,ON,Pat_4,Relax
17,2008-11-19 23:19:17,Couch,Couch,ON,Pat_4,Relax
18,2008-11-19 23:22:25,Couch,Couch,ON,Pat_4,Relax
19,2008-11-19 23:23:44,Couch,Couch,ON,Pat_4,Relax
20,2008-11-20 00:15:10,Fridge,Fridge,ON,Pat_38,GetDrink
21,2008-11-20 00:15:29,Fridge,Fridge,ON,Pat_38,Relax
22,2008-11-20 00:15:42,PlatesCupboard,PlatesCupboard,ON,Pat_38,Relax
23,2008-11-20 00:16:16,Couch,Couch,ON,Other_Activity,Relax
24,2008-11-20 00:39:18,Fridge,Fridge,ON,Pat_34,GetSnack
25,2008-11-20 00:39:23,Cutlery,Cutlery,ON,Pat_34,GetSnack
26,2008-11-20 00:39:28,PlatesCupboard,PlatesCupboard,ON,Pat_122,GetSnack
27,2008-11-20 00:39:46,PlatesCupboard,PlatesCupboard,ON,Pat_122,GetSnack
28,2008-11-20 00:39:54,PlatesCupboard,PlatesCupboard,ON,Pat_122,GetSnack
29,2008-11-20 00:40:10,Couch,Couch,ON,Pat_4,Relax
30,2008-11-20 00:40:11,Couch,Couch,ON,Pat_4,Relax
31,2008-11-20 01:03:43,Couch,Couch,ON,Pat_4,Relax
32,2008-11-20 01:03:46,Couch,Couch,ON,Pat_4,Relax
33,2008-11-20 01:08:13,Couch,Couch,ON,Pat_4,Relax
34,2008-11-20 01:30:23,BathroomDoor,BathroomDoor,ON,Pat_4,None
35,2008-11-20 01:32:04,SinkTop,SinkTop,ON,Pat_62,BrushTeeth
36,2008-11-20 01:32:08,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_62,BrushTeeth
37,2008-11-20 01:33:42,SinkTop,SinkTop,ON,Pat_51,BrushTeeth
38,2008-11-20 01:34:00,Bathtub,Bathtub,ON,Pat_51,BrushTeeth
39,2008-11-20 01:34:05,SinkTop,SinkTop,ON,Pat_118,BrushTeeth
40,2008-11-20 01:34:54,Bathtub,Bathtub,ON,Pat_118,BrushTeeth
41,2008-11-20 01:35:02,Bathtub,Bathtub,ON,Pat_118,BrushTeeth
42,2008-11-20 01:35:11,BathroomDoor,BathroomDoor,ON,Pat_118,BrushTeeth
43,2008-11-20 01:35:27,BathroomDoor,BathroomDoor,ON,Pat_118,BrushTeeth
44,2008-11-20 01:35:46,Bathtub,Bathtub,ON,Other_Activity,BrushTeeth
45,2008-11-20 01:36:18,BathroomDoor,BathroomDoor,ON,Pat_29,BrushTeeth
46,2008-11-20 01:38:11,BedroomDoor,BedroomDoor,ON,Pat_29,GoToBed
47,2008-11-20 01:39:31,BedRight,BedRight,ON,Pat_0,GoToBed
48,2008-11-20 01:39:49,BedRight,BedRight,ON,Pat_0,GoToBed
49,2008-11-20 01:41:42,BedRight,BedRight,ON,Pat_0,GoToBed
50,2008-11-20 01:41:44,BedRight,BedRight,ON,Pat_0,GoToBed
51,2008-11-20 01:43:06,BedRight,BedRight,ON,Pat_0,GoToBed
52,2008-11-20 01:43:12,BedRight,BedRight,ON,Pat_0,GoToBed
53,2008-11-20 01:44:01,BedRight,BedRight,ON,Pat_0,GoToBed
54,2008-11-20 01:44:52,BedRight,BedRight,ON,Pat_0,GoToBed
55,2008-11-20 01:46:28,BedRight,BedRight,ON,Pat_0,GoToBed
56,2008-11-20 01:46:31,BedRight,BedRight,ON,Pat_0,GoToBed
57,2008-11-20 01:46:34,BedRight,BedRight,ON,Pat_0,GoToBed
58,2008-11-20 01:46:37,BedRight,BedRight,ON,Pat_0,GoToBed
59,2008-11-20 01:46:43,BedRight,BedRight,ON,Pat_0,GoToBed
60,2008-11-20 01:46:47,BedRight,BedRight,ON,Pat_0,GoToBed
61,2008-11-20 01:46:54,BedRight,BedRight,ON,Pat_0,GoToBed
62,2008-11-20 01:48:40,BedRight,BedRight,ON,Pat_0,GoToBed
63,2008-11-20 01:49:26,BedRight,BedRight,ON,Pat_0,GoToBed
64,2008-11-20 01:49:29,BedRight,BedRight,ON,Pat_0,GoToBed
65,2008-11-20 01:49:33,BedRight,BedRight,ON,Pat_0,GoToBed
66,2008-11-20 01:50:17,BedRight,BedRight,ON,Pat_0,GoToBed
67,2008-11-20 01:50:23,BedRight,BedRight,ON,Pat_0,GoToBed
68,2008-11-20 01:50:26,BedRight,BedRight,ON,Pat_0,GoToBed
69,2008-11-20 01:50:30,BedRight,BedRight,ON,Pat_0,GoToBed
70,2008-11-20 01:51:14,BedRight,BedRight,ON,Pat_0,GoToBed
71,2008-11-20 01:51:47,BedRight,BedRight,ON,Pat_0,GoToBed
72,2008-11-20 01:51:52,BedRight,BedRight,ON,Pat_0,GoToBed
73,2008-11-20 01:51:55,BedRight,BedRight,ON,Pat_0,GoToBed
74,2008-11-20 01:51:59,BedRight,BedRight,ON,Pat_0,GoToBed
75,2008-11-20 01:52:02,BedRight,BedRight,ON,Pat_0,GoToBed
76,2008-11-20 01:52:07,BedRight,BedRight,ON,Pat_0,GoToBed
77,2008-11-20 01:52:11,BedRight,BedRight,ON,Pat_0,GoToBed
78,2008-11-20 01:52:14,BedRight,BedRight,ON,Pat_0,GoToBed
79,2008-11-20 01:52:18,BedRight,BedRight,ON,Pat_0,GoToBed
80,2008-11-20 01:52:24,BedRight,BedRight,ON,Pat_0,GoToBed
81,2008-11-20 01:52:28,BedRight,BedRight,ON,Pat_0,GoToBed
82,2008-11-20 01:52:33,BedRight,BedRight,ON,Pat_0,GoToBed
83,2008-11-20 01:52:37,BedRight,BedRight,ON,Pat_0,GoToBed
84,2008-11-20 01:52:41,BedRight,BedRight,ON,Pat_0,GoToBed
85,2008-11-20 01:52:45,BedRight,BedRight,ON,Pat_0,GoToBed
86,2008-11-20 01:52:57,BedRight,BedRight,ON,Pat_0,GoToBed
87,2008-11-20 01:53:51,BedRight,BedRight,ON,Pat_0,GoToBed
88,2008-11-20 01:55:10,BedRight,BedRight,ON,Pat_0,GoToBed
89,2008-11-20 01:55:12,BedRight,BedRight,ON,Pat_0,GoToBed
90,2008-11-20 01:55:15,BedRight,BedRight,ON,Pat_0,GoToBed
91,2008-11-20 01:55:18,BedRight,BedRight,ON,Pat_0,GoToBed
92,2008-11-20 01:55:28,BedRight,BedRight,ON,Pat_0,GoToBed
93,2008-11-20 01:55:32,BedRight,BedRight,ON,Pat_0,GoToBed
94,2008-11-20 01:55:37,BedRight,BedRight,ON,Pat_0,GoToBed
95,2008-11-20 01:55:41,BedRight,BedRight,ON,Pat_0,GoToBed
96,2008-11-20 01:55:46,BedRight,BedRight,ON,Pat_0,GoToBed
97,2008-11-20 01:55:51,BedRight,BedRight,ON,Pat_0,GoToBed
98,2008-11-20 01:55:54,BedRight,BedRight,ON,Pat_0,GoToBed
99,2008-11-20 01:56:34,BedRight,BedRight,ON,Pat_0,GoToBed
100,2008-11-20 01:57:34,BedRight,BedRight,ON,Pat_0,GoToBed
101,2008-11-20 01:57:37,BedRight,BedRight,ON,Pat_0,GoToBed
102,2008-11-20 01:57:40,BedRight,BedRight,ON,Pat_0,GoToBed
103,2008-11-20 01:57:43,BedRight,BedRight,ON,Pat_0,GoToBed
104,2008-11-20 01:57:47,BedRight,BedRight,ON,Pat_0,GoToBed
105,2008-11-20 01:57:50,BedRight,BedRight,ON,Pat_0,GoToBed
106,2008-11-20 01:57:53,BedRight,BedRight,ON,Pat_0,GoToBed
107,2008-11-20 01:58:13,BedRight,BedRight,ON,Pat_0,GoToBed
108,2008-11-20 01:58:15,BedRight,BedRight,ON,Pat_0,GoToBed
109,2008-11-20 01:58:18,BedRight,BedRight,ON,Pat_0,GoToBed
110,2008-11-20 01:58:20,BedRight,BedRight,ON,Pat_0,GoToBed
111,2008-11-20 01:58:22,BedRight,BedRight,ON,Pat_0,GoToBed
112,2008-11-20 02:00:05,BedRight,BedRight,ON,Pat_0,GoToBed
113,2008-11-20 02:00:47,BedRight,BedRight,ON,Pat_0,GoToBed
114,2008-11-20 02:00:49,BedRight,BedRight,ON,Pat_0,GoToBed
115,2008-11-20 02:01:19,BedRight,BedRight,ON,Pat_0,GoToBed
116,2008-11-20 02:08:22,BedRight,BedRight,ON,Pat_0,GoToBed
117,2008-11-20 02:08:58,BedRight,BedRight,ON,Pat_0,GoToBed
118,2008-11-20 02:09:00,BedRight,BedRight,ON,Pat_0,GoToBed
119,2008-11-20 02:09:04,BedRight,BedRight,ON,Pat_0,GoToBed
120,2008-11-20 02:09:29,BedRight,BedRight,ON,Pat_0,GoToBed
121,2008-11-20 02:09:44,BedRight,BedRight,ON,Pat_0,GoToBed
122,2008-11-20 02:09:47,BedRight,BedRight,ON,Pat_0,GoToBed
123,2008-11-20 02:09:50,BedRight,BedRight,ON,Pat_0,GoToBed
124,2008-11-20 02:09:54,BedRight,BedRight,ON,Pat_0,GoToBed
125,2008-11-20 02:09:57,BedRight,BedRight,ON,Pat_0,GoToBed
126,2008-11-20 02:10:01,BedRight,BedRight,ON,Pat_0,GoToBed
127,2008-11-20 02:10:07,BedRight,BedRight,ON,Pat_0,GoToBed
128,2008-11-20 02:10:10,BedRight,BedRight,ON,Pat_0,GoToBed
129,2008-11-20 02:10:18,BedRight,BedRight,ON,Pat_0,GoToBed
130,2008-11-20 02:10:21,BedRight,BedRight,ON,Pat_0,GoToBed
131,2008-11-20 02:10:23,BedRight,BedRight,ON,Pat_0,GoToBed
132,2008-11-20 02:10:57,BedRight,BedRight,ON,Pat_0,GoToBed
133,2008-11-20 02:11:26,BedRight,BedRight,ON,Pat_0,GoToBed
134,2008-11-20 02:11:30,BedRight,BedRight,ON,Pat_0,GoToBed
135,2008-11-20 02:11:50,BedRight,BedRight,ON,Pat_0,GoToBed
136,2008-11-20 02:11:52,BedRight,BedRight,ON,Pat_0,GoToBed
137,2008-11-20 02:12:17,BedRight,BedRight,ON,Pat_0,GoToBed
138,2008-11-20 02:12:48,BedRight,BedRight,ON,Pat_0,GoToBed
139,2008-11-20 02:12:52,BedRight,BedRight,ON,Pat_0,GoToBed
140,2008-11-20 02:12:53,BedRight,BedRight,ON,Pat_0,GoToBed
141,2008-11-20 02:12:55,BedRight,BedRight,ON,Pat_0,GoToBed
142,2008-11-20 02:12:57,BedRight,BedRight,ON,Pat_0,GoToBed
143,2008-11-20 02:12:59,BedRight,BedRight,ON,Pat_0,GoToBed
144,2008-11-20 02:13:03,BedRight,BedRight,ON,Pat_0,GoToBed
145,2008-11-20 02:13:05,BedRight,BedRight,ON,Pat_0,GoToBed
146,2008-11-20 02:13:07,BedRight,BedRight,ON,Pat_0,GoToBed
147,2008-11-20 02:13:09,BedRight,BedRight,ON,Pat_0,GoToBed
148,2008-11-20 02:13:12,BedRight,BedRight,ON,Pat_0,GoToBed
149,2008-11-20 02:13:15,BedRight,BedRight,ON,Pat_0,GoToBed
150,2008-11-20 02:13:18,BedRight,BedRight,ON,Pat_0,GoToBed
151,2008-11-20 02:13:19,BedRight,BedRight,ON,Pat_0,GoToBed
152,2008-11-20 02:13:31,BedRight,BedRight,ON,Pat_0,GoToBed
153,2008-11-20 02:13:33,BedRight,BedRight,ON,Pat_0,GoToBed
154,2008-11-20 02:13:38,BedRight,BedRight,ON,Pat_0,GoToBed
155,2008-11-20 02:13:53,BedRight,BedRight,ON,Pat_0,GoToBed
156,2008-11-20 02:17:54,BedRight,BedRight,ON,Pat_0,GoToBed
157,2008-11-20 02:18:00,BedRight,BedRight,ON,Pat_0,GoToBed
158,2008-11-20 02:18:02,BedRight,BedRight,ON,Pat_0,GoToBed
159,2008-11-20 02:18:05,BedRight,BedRight,ON,Pat_0,GoToBed
160,2008-11-20 02:19:06,BedRight,BedRight,ON,Pat_0,GoToBed
161,2008-11-20 02:19:34,BedRight,BedRight,ON,Pat_0,GoToBed
162,2008-11-20 02:19:36,BedRight,BedRight,ON,Pat_0,GoToBed
163,2008-11-20 02:23:53,BedRight,BedRight,ON,Pat_0,GoToBed
164,2008-11-20 02:24:33,BedRight,BedRight,ON,Pat_0,GoToBed
165,2008-11-20 02:25:05,BedRight,BedRight,ON,Pat_0,GoToBed
166,2008-11-20 02:25:08,BedRight,BedRight,ON,Pat_0,GoToBed
167,2008-11-20 02:25:13,BedRight,BedRight,ON,Pat_0,GoToBed
168,2008-11-20 02:25:16,BedRight,BedRight,ON,Pat_0,GoToBed
169,2008-11-20 02:25:39,BedRight,BedRight,ON,Pat_0,GoToBed
170,2008-11-20 02:29:26,BedRight,BedRight,ON,Pat_0,GoToBed
171,2008-11-20 02:29:39,BedRight,BedRight,ON,Pat_0,GoToBed
172,2008-11-20 02:29:54,BedRight,BedRight,ON,Pat_0,GoToBed
173,2008-11-20 02:29:59,BedRight,BedRight,ON,Pat_0,GoToBed
174,2008-11-20 02:30:36,BedRight,BedRight,ON,Pat_0,GoToBed
175,2008-11-20 02:30:39,BedRight,BedRight,ON,Pat_0,GoToBed
176,2008-11-20 02:30:42,BedRight,BedRight,ON,Pat_0,GoToBed
177,2008-11-20 02:30:48,BedRight,BedRight,ON,Pat_0,GoToBed
178,2008-11-20 02:30:52,BedRight,BedRight,ON,Pat_0,GoToBed
179,2008-11-20 02:30:55,BedRight,BedRight,ON,Pat_0,GoToBed
180,2008-11-20 02:30:57,BedRight,BedRight,ON,Pat_0,GoToBed
181,2008-11-20 02:31:00,BedRight,BedRight,ON,Pat_0,GoToBed
182,2008-11-20 02:31:01,BedRight,BedRight,ON,Pat_0,GoToBed
183,2008-11-20 02:31:04,BedRight,BedRight,ON,Pat_0,GoToBed
184,2008-11-20 02:31:08,BedRight,BedRight,ON,Pat_0,GoToBed
185,2008-11-20 02:31:13,BedRight,BedRight,ON,Pat_0,GoToBed
186,2008-11-20 02:31:15,BedRight,BedRight,ON,Pat_0,GoToBed
187,2008-11-20 02:31:17,BedRight,BedRight,ON,Pat_0,GoToBed
188,2008-11-20 02:31:21,BedRight,BedRight,ON,Pat_0,GoToBed
189,2008-11-20 02:32:27,BedRight,BedRight,ON,Pat_0,GoToBed
190,2008-11-20 02:33:51,BedRight,BedRight,ON,Pat_0,GoToBed
191,2008-11-20 02:33:54,BedRight,BedRight,ON,Pat_0,GoToBed
192,2008-11-20 02:33:57,BedRight,BedRight,ON,Pat_0,GoToBed
193,2008-11-20 02:33:59,BedRight,BedRight,ON,Pat_0,GoToBed
194,2008-11-20 02:34:01,BedRight,BedRight,ON,Pat_0,GoToBed
195,2008-11-20 02:34:04,BedRight,BedRight,ON,Pat_0,GoToBed
196,2008-11-20 02:34:06,BedRight,BedRight,ON,Pat_0,GoToBed
197,2008-11-20 02:34:09,BedRight,BedRight,ON,Pat_0,GoToBed
198,2008-11-20 02:34:24,BedRight,BedRight,ON,Pat_0,GoToBed
199,2008-11-20 02:34:32,BedRight,BedRight,ON,Pat_0,GoToBed
200,2008-11-20 02:34:33,BedRight,BedRight,ON,Pat_0,GoToBed
201,2008-11-20 02:34:35,BedRight,BedRight,ON,Pat_0,GoToBed
202,2008-11-20 02:34:54,BedRight,BedRight,ON,Pat_0,GoToBed
