id,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-24 07:00:11,2008-11-24,07:00:11,BedRight,BedRight,ON,Pat_1,GoToBed
1,2008-11-24 07:00:12,2008-11-24,07:00:12,BedRight,BedRight,ON,Pat_1,GoToBed
2,2008-11-24 07:02:48,2008-11-24,07:02:48,BedRight,BedRight,ON,Pat_1,GoToBed
3,2008-11-24 07:11:15,2008-11-24,07:11:15,BedRight,BedRight,ON,Pat_1,GoToBed
4,2008-11-24 07:14:57,2008-11-24,07:14:57,BedRight,BedRight,ON,Pat_1,GoToBed
5,2008-11-24 07:15:05,2008-11-24,07:15:05,BedRight,BedRight,ON,Pat_1,GoToBed
6,2008-11-24 07:15:18,2008-11-24,07:15:18,BedRight,BedRight,ON,Pat_1,GoToBed
7,2008-11-24 07:15:55,2008-11-24,07:15:55,BedRight,BedRight,ON,Pat_1,GoToBed
8,2008-11-24 07:16:04,2008-11-24,07:16:04,BedRight,BedRight,ON,Pat_1,GoToBed
9,2008-11-24 07:16:16,2008-11-24,07:16:16,BedRight,BedRight,ON,Pat_1,GoToBed
10,2008-11-24 07:27:58,2008-11-24,07:27:58,BedRight,BedRight,ON,Pat_1,GoToBed
11,2008-11-24 07:28:00,2008-11-24,07:28:00,BedRight,BedRight,ON,Pat_1,GoToBed
12,2008-11-24 07:29:16,2008-11-24,07:29:16,BathroomDoor,BathroomDoor,ON,Pat_108,TakeShower
13,2008-11-24 07:29:41,2008-11-24,07:29:41,BathroomDoor,BathroomDoor,ON,Pat_108,TakeShower
14,2008-11-24 07:30:18,2008-11-24,07:30:18,Bathtub,Bathtub,ON,Pat_108,TakeShower
15,2008-11-24 07:30:36,2008-11-24,07:30:36,BathroomDoor,BathroomDoor,ON,Pat_108,TakeShower
16,2008-11-24 07:31:12,2008-11-24,07:31:12,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_146,UseToiletUpstairs
17,2008-11-24 07:32:28,2008-11-24,07:32:28,BedroomDoor,BedroomDoor,ON,Pat_146,UseToiletUpstairs
18,2008-11-24 07:33:39,2008-11-24,07:33:39,Microwave,Microwave,ON,Pat_56,None
19,2008-11-24 07:34:04,2008-11-24,07:34:04,Microwave,Microwave,ON,Pat_56,None
20,2008-11-24 07:37:06,2008-11-24,07:37:06,Fridge,Fridge,ON,Other_Activity,None
21,2008-11-24 07:41:09,2008-11-24,07:41:09,Microwave,Microwave,ON,Other_Activity,None
22,2008-11-24 07:41:50,2008-11-24,07:41:50,Fridge,Fridge,ON,Pat_38,PrepareBreakfast
23,2008-11-24 07:41:54,2008-11-24,07:41:54,PlatesCupboard,PlatesCupboard,ON,Pat_38,PrepareBreakfast
24,2008-11-24 07:43:34,2008-11-24,07:43:34,Dresser,Dresser,ON,Other_Activity,None
25,2008-11-24 07:43:37,2008-11-24,07:43:37,Dresser,Dresser,ON,Pat_44,GetDressed
26,2008-11-24 07:43:39,2008-11-24,07:43:39,Dresser,Dresser,ON,Pat_44,GetDressed
27,2008-11-24 07:43:44,2008-11-24,07:43:44,BedLeft,BedLeft,ON,Pat_44,GetDressed
28,2008-11-24 07:43:47,2008-11-24,07:43:47,BedLeft,BedLeft,ON,Pat_44,GetDressed
29,2008-11-24 07:43:49,2008-11-24,07:43:49,BedLeft,BedLeft,ON,Pat_44,GetDressed
30,2008-11-24 07:45:32,2008-11-24,07:45:32,BedroomDoor,BedroomDoor,ON,Pat_44,GetDressed
31,2008-11-24 07:46:18,2008-11-24,07:46:18,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
32,2008-11-24 07:46:21,2008-11-24,07:46:21,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
33,2008-11-24 07:46:23,2008-11-24,07:46:23,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
34,2008-11-24 07:46:26,2008-11-24,07:46:26,CupboardCups,CupboardCups,ON,Other_Activity,PrepareBreakfast
35,2008-11-24 07:46:27,2008-11-24,07:46:27,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
36,2008-11-24 07:46:34,2008-11-24,07:46:34,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
37,2008-11-24 07:46:45,2008-11-24,07:46:45,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
38,2008-11-24 07:47:09,2008-11-24,07:47:09,Cutlery,Cutlery,ON,Pat_23,PrepareBreakfast
39,2008-11-24 07:50:14,2008-11-24,07:50:14,Microwave,Microwave,ON,Pat_23,PrepareBreakfast
40,2008-11-24 07:53:36,2008-11-24,07:53:36,Fridge,Fridge,ON,Pat_14,PrepareBreakfast
41,2008-11-24 07:54:21,2008-11-24,07:54:21,Fridge,Fridge,ON,Pat_14,PrepareBreakfast
42,2008-11-24 07:55:05,2008-11-24,07:55:05,Fridge,Fridge,ON,Pat_14,PrepareBreakfast
43,2008-11-24 09:00:13,2008-11-24,09:00:13,Couch,Couch,ON,Pat_4,Relax
44,2008-11-24 09:01:21,2008-11-24,09:01:21,Couch,Couch,ON,Pat_4,Relax
45,2008-11-24 09:29:23,2008-11-24,09:29:23,Couch,Couch,ON,Pat_4,Relax
46,2008-11-24 09:34:16,2008-11-24,09:34:16,Bathtub,Bathtub,ON,Pat_10,BrushTeeth
47,2008-11-24 09:34:20,2008-11-24,09:34:20,Bathtub,Bathtub,ON,Pat_10,BrushTeeth
48,2008-11-24 09:34:27,2008-11-24,09:34:27,Bathtub,Bathtub,ON,Pat_10,BrushTeeth
49,2008-11-24 09:34:35,2008-11-24,09:34:35,SinkTop,SinkTop,ON,Pat_16,BrushTeeth
50,2008-11-24 09:34:40,2008-11-24,09:34:40,SinkTop,SinkTop,ON,Pat_16,BrushTeeth
51,2008-11-24 09:36:17,2008-11-24,09:36:17,SinkTop,SinkTop,ON,Pat_16,BrushTeeth
52,2008-11-24 09:36:23,2008-11-24,09:36:23,Bathtub,Bathtub,ON,Other_Activity,BrushTeeth
53,2008-11-24 09:36:28,2008-11-24,09:36:28,SinkTop,SinkTop,ON,Pat_16,BrushTeeth
54,2008-11-24 09:37:33,2008-11-24,09:37:33,SinkTop,SinkTop,ON,Pat_16,BrushTeeth
55,2008-11-24 09:37:35,2008-11-24,09:37:35,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
56,2008-11-24 09:37:41,2008-11-24,09:37:41,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
57,2008-11-24 09:37:43,2008-11-24,09:37:43,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
58,2008-11-24 09:37:45,2008-11-24,09:37:45,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
59,2008-11-24 09:37:48,2008-11-24,09:37:48,Bathtub,Bathtub,ON,Pat_6,BrushTeeth
