,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-19 22:47:46,2008-11-19,22:47:46,Frontdoor,Frontdoor,ON,Pat_15,LeaveHouse
1,2008-11-19 22:49:20,2008-11-19,22:49:20,Frontdoor,Frontdoor,ON,Pat_15,LeaveHouse
2,2008-11-19 22:49:24,2008-11-19,22:49:24,Frontdoor,Frontdoor,ON,Pat_15,LeaveHouse
3,2008-11-19 22:50:18,2008-11-19,22:50:18,Frontdoor,Frontdoor,ON,Pat_15,LeaveHouse
4,2008-11-19 22:51:02,2008-11-19,22:51:02,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
5,2008-11-19 22:51:02,2008-11-19,22:51:02,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,GetSnack
6,2008-11-19 22:51:04,2008-11-19,22:51:04,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
7,2008-11-19 22:51:04,2008-11-19,22:51:04,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,GetSnack
8,2008-11-19 22:51:49,2008-11-19,22:51:49,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,UseToiletDownstairs
9,2008-11-19 22:51:49,2008-11-19,22:51:49,ToiletDoorDownstairs,ToiletDoorDownstairs,ON,Pat_158,GetSnack
10,2008-11-19 22:52:17,2008-11-19,22:52:17,ToiletFlushDownstairs,ToiletFlushDownstairs,ON,Pat_158,UseToiletDownstairs
11,2008-11-19 22:52:17,2008-11-19,22:52:17,ToiletFlushDownstairs,ToiletFlushDownstairs,ON,Pat_158,GetSnack
12,2008-11-19 22:59:12,2008-11-19,22:59:12,PlatesCupboard,PlatesCupboard,ON,Pat_158,UseToiletDownstairs
13,2008-11-19 22:59:12,2008-11-19,22:59:12,PlatesCupboard,PlatesCupboard,ON,Pat_158,GetSnack
14,2008-11-19 22:59:53,2008-11-19,22:59:53,Fridge,Fridge,ON,Pat_38,GetSnack
15,2008-11-19 23:00:06,2008-11-19,23:00:06,Fridge,Fridge,ON,Pat_38,GetSnack
16,2008-11-19 23:00:26,2008-11-19,23:00:26,PlatesCupboard,PlatesCupboard,ON,Pat_38,GetSnack
17,2008-11-19 23:01:13,2008-11-19,23:01:13,Couch,Couch,ON,Pat_4,Relax
18,2008-11-19 23:01:21,2008-11-19,23:01:21,Couch,Couch,ON,Pat_4,Relax
19,2008-11-19 23:02:40,2008-11-19,23:02:40,Couch,Couch,ON,Pat_4,Relax
20,2008-11-19 23:18:40,2008-11-19,23:18:40,Couch,Couch,ON,Pat_4,Relax
21,2008-11-19 23:18:59,2008-11-19,23:18:59,Couch,Couch,ON,Pat_4,Relax
22,2008-11-19 23:19:17,2008-11-19,23:19:17,Couch,Couch,ON,Pat_4,Relax
23,2008-11-19 23:22:25,2008-11-19,23:22:25,Couch,Couch,ON,Pat_4,Relax
24,2008-11-19 23:23:44,2008-11-19,23:23:44,Couch,Couch,ON,Pat_4,Relax
25,2008-11-20 00:15:10,2008-11-20,00:15:10,Fridge,Fridge,ON,Pat_38,GetSnack
26,2008-11-20 00:15:29,2008-11-20,00:15:29,Fridge,Fridge,ON,Pat_38,GetSnack
27,2008-11-20 00:15:42,2008-11-20,00:15:42,PlatesCupboard,PlatesCupboard,ON,Pat_38,GetSnack
28,2008-11-20 00:16:16,2008-11-20,00:16:16,Couch,Couch,ON,Other_Activity,None
29,2008-11-20 00:39:18,2008-11-20,00:39:18,Fridge,Fridge,ON,Pat_34,GetSnack
30,2008-11-20 00:39:23,2008-11-20,00:39:23,Cutlery,Cutlery,ON,Pat_34,GetSnack
31,2008-11-20 00:39:28,2008-11-20,00:39:28,PlatesCupboard,PlatesCupboard,ON,Pat_122,GetSnack
32,2008-11-20 00:39:46,2008-11-20,00:39:46,PlatesCupboard,PlatesCupboard,ON,Pat_122,GetSnack
33,2008-11-20 00:39:54,2008-11-20,00:39:54,PlatesCupboard,PlatesCupboard,ON,Pat_122,GetSnack
34,2008-11-20 00:40:10,2008-11-20,00:40:10,Couch,Couch,ON,Pat_4,Relax
35,2008-11-20 00:40:11,2008-11-20,00:40:11,Couch,Couch,ON,Pat_4,Relax
36,2008-11-20 01:03:43,2008-11-20,01:03:43,Couch,Couch,ON,Pat_4,Relax
37,2008-11-20 01:03:46,2008-11-20,01:03:46,Couch,Couch,ON,Pat_4,Relax
38,2008-11-20 01:08:13,2008-11-20,01:08:13,Couch,Couch,ON,Pat_4,Relax
39,2008-11-20 01:30:23,2008-11-20,01:30:23,BathroomDoor,BathroomDoor,ON,Pat_4,Relax
40,2008-11-20 01:32:04,2008-11-20,01:32:04,SinkTop,SinkTop,ON,Pat_62,TakeMedication
41,2008-11-20 01:32:04,2008-11-20,01:32:04,SinkTop,SinkTop,ON,Pat_62,UseToiletUpstairs
42,2008-11-20 01:32:08,2008-11-20,01:32:08,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_62,TakeMedication
43,2008-11-20 01:32:08,2008-11-20,01:32:08,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_62,UseToiletUpstairs
44,2008-11-20 01:33:42,2008-11-20,01:33:42,SinkTop,SinkTop,ON,Pat_51,TakeMedication
45,2008-11-20 01:33:42,2008-11-20,01:33:42,SinkTop,SinkTop,ON,Pat_51,UseToiletUpstairs
46,2008-11-20 01:34:00,2008-11-20,01:34:00,Bathtub,Bathtub,ON,Pat_51,TakeMedication
47,2008-11-20 01:34:00,2008-11-20,01:34:00,Bathtub,Bathtub,ON,Pat_51,UseToiletUpstairs
48,2008-11-20 01:34:05,2008-11-20,01:34:05,SinkTop,SinkTop,ON,Pat_118,UseToiletUpstairs
49,2008-11-20 01:34:54,2008-11-20,01:34:54,Bathtub,Bathtub,ON,Pat_118,UseToiletUpstairs
50,2008-11-20 01:35:02,2008-11-20,01:35:02,Bathtub,Bathtub,ON,Pat_118,UseToiletUpstairs
51,2008-11-20 01:35:11,2008-11-20,01:35:11,BathroomDoor,BathroomDoor,ON,Pat_118,UseToiletUpstairs
52,2008-11-20 01:35:27,2008-11-20,01:35:27,BathroomDoor,BathroomDoor,ON,Pat_118,UseToiletUpstairs
53,2008-11-20 01:35:46,2008-11-20,01:35:46,Bathtub,Bathtub,ON,Other_Activity,None
54,2008-11-20 01:36:18,2008-11-20,01:36:18,BathroomDoor,BathroomDoor,ON,Pat_29,UseToiletUpstairs
55,2008-11-20 01:38:11,2008-11-20,01:38:11,BedroomDoor,BedroomDoor,ON,Pat_29,UseToiletUpstairs
56,2008-11-20 01:39:31,2008-11-20,01:39:31,BedRight,BedRight,ON,Other_Activity,None
57,2008-11-20 01:39:49,2008-11-20,01:39:49,BedRight,BedRight,ON,Other_Activity,None
58,2008-11-20 01:41:42,2008-11-20,01:41:42,BedRight,BedRight,ON,Other_Activity,None
59,2008-11-20 01:41:44,2008-11-20,01:41:44,BedRight,BedRight,ON,Other_Activity,None
60,2008-11-20 01:43:06,2008-11-20,01:43:06,BedRight,BedRight,ON,Other_Activity,None
61,2008-11-20 01:43:12,2008-11-20,01:43:12,BedRight,BedRight,ON,Other_Activity,None
62,2008-11-20 01:44:01,2008-11-20,01:44:01,BedRight,BedRight,ON,Other_Activity,None
63,2008-11-20 01:44:52,2008-11-20,01:44:52,BedRight,BedRight,ON,Other_Activity,None
64,2008-11-20 01:46:28,2008-11-20,01:46:28,BedRight,BedRight,ON,Other_Activity,None
65,2008-11-20 01:46:31,2008-11-20,01:46:31,BedRight,BedRight,ON,Other_Activity,None
66,2008-11-20 01:46:34,2008-11-20,01:46:34,BedRight,BedRight,ON,Other_Activity,None
67,2008-11-20 01:46:37,2008-11-20,01:46:37,BedRight,BedRight,ON,Other_Activity,None
68,2008-11-20 01:46:43,2008-11-20,01:46:43,BedRight,BedRight,ON,Other_Activity,None
69,2008-11-20 01:46:47,2008-11-20,01:46:47,BedRight,BedRight,ON,Other_Activity,None
70,2008-11-20 01:46:54,2008-11-20,01:46:54,BedRight,BedRight,ON,Other_Activity,None
71,2008-11-20 01:48:40,2008-11-20,01:48:40,BedRight,BedRight,ON,Other_Activity,None
72,2008-11-20 01:49:26,2008-11-20,01:49:26,BedRight,BedRight,ON,Other_Activity,None
73,2008-11-20 01:49:29,2008-11-20,01:49:29,BedRight,BedRight,ON,Other_Activity,None
74,2008-11-20 01:49:33,2008-11-20,01:49:33,BedRight,BedRight,ON,Other_Activity,None
75,2008-11-20 01:50:17,2008-11-20,01:50:17,BedRight,BedRight,ON,Other_Activity,None
76,2008-11-20 01:50:23,2008-11-20,01:50:23,BedRight,BedRight,ON,Other_Activity,None
77,2008-11-20 01:50:26,2008-11-20,01:50:26,BedRight,BedRight,ON,Other_Activity,None
78,2008-11-20 01:50:30,2008-11-20,01:50:30,BedRight,BedRight,ON,Other_Activity,None
79,2008-11-20 01:51:14,2008-11-20,01:51:14,BedRight,BedRight,ON,Other_Activity,None
80,2008-11-20 01:51:47,2008-11-20,01:51:47,BedRight,BedRight,ON,Other_Activity,None
81,2008-11-20 01:51:52,2008-11-20,01:51:52,BedRight,BedRight,ON,Other_Activity,None
82,2008-11-20 01:51:55,2008-11-20,01:51:55,BedRight,BedRight,ON,Other_Activity,None
83,2008-11-20 01:51:59,2008-11-20,01:51:59,BedRight,BedRight,ON,Other_Activity,None
84,2008-11-20 01:52:02,2008-11-20,01:52:02,BedRight,BedRight,ON,Other_Activity,None
85,2008-11-20 01:52:07,2008-11-20,01:52:07,BedRight,BedRight,ON,Other_Activity,None
86,2008-11-20 01:52:11,2008-11-20,01:52:11,BedRight,BedRight,ON,Other_Activity,None
87,2008-11-20 01:52:14,2008-11-20,01:52:14,BedRight,BedRight,ON,Other_Activity,None
88,2008-11-20 01:52:18,2008-11-20,01:52:18,BedRight,BedRight,ON,Other_Activity,None
89,2008-11-20 01:52:24,2008-11-20,01:52:24,BedRight,BedRight,ON,Other_Activity,None
90,2008-11-20 01:52:28,2008-11-20,01:52:28,BedRight,BedRight,ON,Other_Activity,None
91,2008-11-20 01:52:33,2008-11-20,01:52:33,BedRight,BedRight,ON,Other_Activity,None
