id,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-20 07:00:01,2008-11-20,07:00:01,BedRight,BedRight,ON,Other_Activity,None
1,2008-11-20 07:00:09,2008-11-20,07:00:09,BedRight,BedRight,ON,Other_Activity,None
2,2008-11-20 07:00:12,2008-11-20,07:00:12,BedRight,BedRight,ON,Other_Activity,None
3,2008-11-20 07:00:18,2008-11-20,07:00:18,BedRight,BedRight,ON,Other_Activity,None
4,2008-11-20 07:00:59,2008-11-20,07:00:59,BedRight,BedRight,ON,Other_Activity,None
5,2008-11-20 07:01:08,2008-11-20,07:01:08,BedRight,BedRight,ON,Other_Activity,None
6,2008-11-20 07:01:11,2008-11-20,07:01:11,BedRight,BedRight,ON,Other_Activity,None
7,2008-11-20 07:01:24,2008-11-20,07:01:24,BedRight,BedRight,ON,Other_Activity,None
8,2008-11-20 07:01:31,2008-11-20,07:01:31,BedRight,BedRight,ON,Other_Activity,None
9,2008-11-20 07:01:39,2008-11-20,07:01:39,BedRight,BedRight,ON,Other_Activity,None
10,2008-11-20 07:01:47,2008-11-20,07:01:47,BedRight,BedRight,ON,Other_Activity,None
11,2008-11-20 07:01:51,2008-11-20,07:01:51,BedRight,BedRight,ON,Other_Activity,None
12,2008-11-20 07:02:02,2008-11-20,07:02:02,BedRight,BedRight,ON,Other_Activity,None
13,2008-11-20 07:02:08,2008-11-20,07:02:08,BedRight,BedRight,ON,Other_Activity,None
14,2008-11-20 07:02:20,2008-11-20,07:02:20,BedRight,BedRight,ON,Other_Activity,None
15,2008-11-20 07:02:39,2008-11-20,07:02:39,BedRight,BedRight,ON,Other_Activity,None
16,2008-11-20 07:02:52,2008-11-20,07:02:52,BedRight,BedRight,ON,Other_Activity,None
17,2008-11-20 07:06:33,2008-11-20,07:06:33,BedRight,BedRight,ON,Other_Activity,None
18,2008-11-20 07:09:12,2008-11-20,07:09:12,BedRight,BedRight,ON,Other_Activity,None
19,2008-11-20 07:12:45,2008-11-20,07:12:45,BedRight,BedRight,ON,Other_Activity,None
20,2008-11-20 07:17:31,2008-11-20,07:17:31,BedRight,BedRight,ON,Other_Activity,None
21,2008-11-20 07:17:33,2008-11-20,07:17:33,BedRight,BedRight,ON,Other_Activity,None
22,2008-11-20 07:17:35,2008-11-20,07:17:35,BedRight,BedRight,ON,Other_Activity,None
23,2008-11-20 07:17:38,2008-11-20,07:17:38,BedRight,BedRight,ON,Other_Activity,None
24,2008-11-20 07:17:40,2008-11-20,07:17:40,BedRight,BedRight,ON,Other_Activity,None
25,2008-11-20 07:17:42,2008-11-20,07:17:42,BedRight,BedRight,ON,Other_Activity,None
26,2008-11-20 07:17:45,2008-11-20,07:17:45,BedRight,BedRight,ON,Other_Activity,None
27,2008-11-20 07:17:53,2008-11-20,07:17:53,BedRight,BedRight,ON,Other_Activity,None
28,2008-11-20 07:17:56,2008-11-20,07:17:56,BedRight,BedRight,ON,Other_Activity,None
29,2008-11-20 07:17:58,2008-11-20,07:17:58,BedRight,BedRight,ON,Other_Activity,None
30,2008-11-20 07:18:15,2008-11-20,07:18:15,BedRight,BedRight,ON,Other_Activity,None
31,2008-11-20 07:18:23,2008-11-20,07:18:23,BedRight,BedRight,ON,Other_Activity,None
32,2008-11-20 07:18:30,2008-11-20,07:18:30,BedRight,BedRight,ON,Other_Activity,None
33,2008-11-20 07:18:32,2008-11-20,07:18:32,BedRight,BedRight,ON,Other_Activity,None
34,2008-11-20 07:18:34,2008-11-20,07:18:34,BedRight,BedRight,ON,Other_Activity,None
35,2008-11-20 07:18:37,2008-11-20,07:18:37,BedRight,BedRight,ON,Other_Activity,None
36,2008-11-20 07:18:42,2008-11-20,07:18:42,BedRight,BedRight,ON,Other_Activity,None
37,2008-11-20 07:18:45,2008-11-20,07:18:45,BedRight,BedRight,ON,Other_Activity,None
38,2008-11-20 07:18:48,2008-11-20,07:18:48,BedRight,BedRight,ON,Other_Activity,None
39,2008-11-20 07:18:52,2008-11-20,07:18:52,BedRight,BedRight,ON,Other_Activity,None
40,2008-11-20 07:18:54,2008-11-20,07:18:54,BedRight,BedRight,ON,Other_Activity,None
41,2008-11-20 07:18:59,2008-11-20,07:18:59,BedRight,BedRight,ON,Other_Activity,None
42,2008-11-20 07:19:02,2008-11-20,07:19:02,BedRight,BedRight,ON,Other_Activity,None
43,2008-11-20 07:19:05,2008-11-20,07:19:05,BedRight,BedRight,ON,Other_Activity,None
44,2008-11-20 07:19:07,2008-11-20,07:19:07,BedRight,BedRight,ON,Other_Activity,None
45,2008-11-20 07:19:11,2008-11-20,07:19:11,BedRight,BedRight,ON,Other_Activity,None
46,2008-11-20 07:19:13,2008-11-20,07:19:13,BedRight,BedRight,ON,Other_Activity,None
47,2008-11-20 07:19:15,2008-11-20,07:19:15,BedRight,BedRight,ON,Other_Activity,None
48,2008-11-20 07:19:20,2008-11-20,07:19:20,BedRight,BedRight,ON,Other_Activity,None
49,2008-11-20 07:19:24,2008-11-20,07:19:24,BedRight,BedRight,ON,Other_Activity,None
50,2008-11-20 07:19:26,2008-11-20,07:19:26,BedRight,BedRight,ON,Other_Activity,None
51,2008-11-20 07:19:29,2008-11-20,07:19:29,BedRight,BedRight,ON,Other_Activity,None
52,2008-11-20 07:19:37,2008-11-20,07:19:37,BedRight,BedRight,ON,Other_Activity,None
53,2008-11-20 07:19:44,2008-11-20,07:19:44,BedRight,BedRight,ON,Other_Activity,None
54,2008-11-20 07:19:48,2008-11-20,07:19:48,BedRight,BedRight,ON,Other_Activity,None
55,2008-11-20 07:20:05,2008-11-20,07:20:05,BedRight,BedRight,ON,Other_Activity,None
56,2008-11-20 07:20:14,2008-11-20,07:20:14,BedRight,BedRight,ON,Other_Activity,None
57,2008-11-20 07:21:56,2008-11-20,07:21:56,BedRight,BedRight,ON,Other_Activity,None
58,2008-11-20 07:21:59,2008-11-20,07:21:59,BedRight,BedRight,ON,Other_Activity,None
59,2008-11-20 07:22:17,2008-11-20,07:22:17,BedRight,BedRight,ON,Other_Activity,None
60,2008-11-20 07:22:41,2008-11-20,07:22:41,BedRight,BedRight,ON,Other_Activity,None
61,2008-11-20 07:22:43,2008-11-20,07:22:43,BedRight,BedRight,ON,Other_Activity,None
62,2008-11-20 07:22:46,2008-11-20,07:22:46,BedRight,BedRight,ON,Other_Activity,None
63,2008-11-20 07:22:57,2008-11-20,07:22:57,BedRight,BedRight,ON,Other_Activity,None
64,2008-11-20 07:23:00,2008-11-20,07:23:00,BedRight,BedRight,ON,Other_Activity,None
65,2008-11-20 07:23:02,2008-11-20,07:23:02,BedRight,BedRight,ON,Other_Activity,None
66,2008-11-20 07:23:03,2008-11-20,07:23:03,BedRight,BedRight,ON,Other_Activity,None
67,2008-11-20 07:23:08,2008-11-20,07:23:08,BedRight,BedRight,ON,Other_Activity,None
68,2008-11-20 07:23:12,2008-11-20,07:23:12,BedRight,BedRight,ON,Other_Activity,None
69,2008-11-20 07:23:15,2008-11-20,07:23:15,BedRight,BedRight,ON,Other_Activity,None
70,2008-11-20 07:23:17,2008-11-20,07:23:17,BedRight,BedRight,ON,Other_Activity,None
71,2008-11-20 07:23:19,2008-11-20,07:23:19,BedRight,BedRight,ON,Other_Activity,None
72,2008-11-20 07:23:21,2008-11-20,07:23:21,BedRight,BedRight,ON,Other_Activity,None
73,2008-11-20 07:23:29,2008-11-20,07:23:29,BedRight,BedRight,ON,Other_Activity,None
74,2008-11-20 07:23:31,2008-11-20,07:23:31,BedRight,BedRight,ON,Other_Activity,None
75,2008-11-20 07:23:38,2008-11-20,07:23:38,BedRight,BedRight,ON,Other_Activity,None
76,2008-11-20 07:23:46,2008-11-20,07:23:46,BedRight,BedRight,ON,Other_Activity,None
77,2008-11-20 07:23:53,2008-11-20,07:23:53,BedRight,BedRight,ON,Other_Activity,None
78,2008-11-20 07:24:04,2008-11-20,07:24:04,BedRight,BedRight,ON,Other_Activity,None
79,2008-11-20 07:24:07,2008-11-20,07:24:07,BedRight,BedRight,ON,Other_Activity,None
80,2008-11-20 07:24:12,2008-11-20,07:24:12,BedRight,BedRight,ON,Other_Activity,None
81,2008-11-20 07:24:18,2008-11-20,07:24:18,BedRight,BedRight,ON,Other_Activity,None
82,2008-11-20 07:24:22,2008-11-20,07:24:22,BedRight,BedRight,ON,Other_Activity,None
83,2008-11-20 07:24:30,2008-11-20,07:24:30,BedRight,BedRight,ON,Other_Activity,None
84,2008-11-20 07:24:41,2008-11-20,07:24:41,BedRight,BedRight,ON,Other_Activity,None
85,2008-11-20 07:25:08,2008-11-20,07:25:08,BedRight,BedRight,ON,Other_Activity,None
86,2008-11-20 07:25:10,2008-11-20,07:25:10,BedRight,BedRight,ON,Other_Activity,None
87,2008-11-20 07:25:20,2008-11-20,07:25:20,BedRight,BedRight,ON,Other_Activity,None
88,2008-11-20 07:25:25,2008-11-20,07:25:25,BedRight,BedRight,ON,Other_Activity,None
89,2008-11-20 07:25:59,2008-11-20,07:25:59,BedRight,BedRight,ON,Other_Activity,None
90,2008-11-20 07:26:01,2008-11-20,07:26:01,BedRight,BedRight,ON,Other_Activity,None
91,2008-11-20 07:26:03,2008-11-20,07:26:03,BedRight,BedRight,ON,Other_Activity,None
92,2008-11-20 07:26:05,2008-11-20,07:26:05,BedRight,BedRight,ON,Other_Activity,None
93,2008-11-20 07:26:07,2008-11-20,07:26:07,BedRight,BedRight,ON,Other_Activity,None
94,2008-11-20 07:26:10,2008-11-20,07:26:10,BedRight,BedRight,ON,Other_Activity,None
95,2008-11-20 07:26:13,2008-11-20,07:26:13,BedRight,BedRight,ON,Other_Activity,None
96,2008-11-20 07:26:17,2008-11-20,07:26:17,BedRight,BedRight,ON,Other_Activity,None
97,2008-11-20 07:26:23,2008-11-20,07:26:23,BedRight,BedRight,ON,Other_Activity,None
98,2008-11-20 07:26:25,2008-11-20,07:26:25,BedRight,BedRight,ON,Other_Activity,None
99,2008-11-20 07:26:28,2008-11-20,07:26:28,BedRight,BedRight,ON,Other_Activity,None
100,2008-11-20 07:26:50,2008-11-20,07:26:50,BedRight,BedRight,ON,Other_Activity,None
101,2008-11-20 07:26:52,2008-11-20,07:26:52,BedRight,BedRight,ON,Other_Activity,None
102,2008-11-20 07:26:56,2008-11-20,07:26:56,BedRight,BedRight,ON,Other_Activity,None
103,2008-11-20 07:27:00,2008-11-20,07:27:00,BedRight,BedRight,ON,Other_Activity,None
104,2008-11-20 07:27:03,2008-11-20,07:27:03,BedRight,BedRight,ON,Other_Activity,None
105,2008-11-20 07:27:06,2008-11-20,07:27:06,BedRight,BedRight,ON,Other_Activity,None
106,2008-11-20 07:27:08,2008-11-20,07:27:08,BedRight,BedRight,ON,Other_Activity,None
107,2008-11-20 07:27:13,2008-11-20,07:27:13,BedRight,BedRight,ON,Other_Activity,None
108,2008-11-20 07:27:18,2008-11-20,07:27:18,BedRight,BedRight,ON,Other_Activity,None
109,2008-11-20 07:27:50,2008-11-20,07:27:50,BedRight,BedRight,ON,Other_Activity,None
110,2008-11-20 07:28:15,2008-11-20,07:28:15,BedRight,BedRight,ON,Other_Activity,None
111,2008-11-20 07:28:21,2008-11-20,07:28:21,BedRight,BedRight,ON,Other_Activity,None
112,2008-11-20 07:30:35,2008-11-20,07:30:35,BedRight,BedRight,ON,Other_Activity,None
113,2008-11-20 07:31:06,2008-11-20,07:31:06,BedRight,BedRight,ON,Other_Activity,None
114,2008-11-20 07:31:38,2008-11-20,07:31:38,BedRight,BedRight,ON,Other_Activity,None
115,2008-11-20 07:31:55,2008-11-20,07:31:55,BedRight,BedRight,ON,Other_Activity,None
116,2008-11-20 07:32:04,2008-11-20,07:32:04,BedRight,BedRight,ON,Other_Activity,None
117,2008-11-20 07:32:08,2008-11-20,07:32:08,BedRight,BedRight,ON,Other_Activity,None
118,2008-11-20 07:32:10,2008-11-20,07:32:10,BedRight,BedRight,ON,Other_Activity,None
119,2008-11-20 07:32:31,2008-11-20,07:32:31,BedRight,BedRight,ON,Other_Activity,None
120,2008-11-20 07:33:55,2008-11-20,07:33:55,BedRight,BedRight,ON,Other_Activity,None
121,2008-11-20 07:33:59,2008-11-20,07:33:59,BedRight,BedRight,ON,Other_Activity,None
122,2008-11-20 07:34:32,2008-11-20,07:34:32,BedRight,BedRight,ON,Other_Activity,None
123,2008-11-20 07:34:35,2008-11-20,07:34:35,BedRight,BedRight,ON,Other_Activity,None
124,2008-11-20 07:35:26,2008-11-20,07:35:26,BedRight,BedRight,ON,Other_Activity,None
125,2008-11-20 07:35:57,2008-11-20,07:35:57,BedRight,BedRight,ON,Other_Activity,None
126,2008-11-20 07:36:41,2008-11-20,07:36:41,BedRight,BedRight,ON,Other_Activity,None
127,2008-11-20 07:37:38,2008-11-20,07:37:38,BedRight,BedRight,ON,Other_Activity,None
128,2008-11-20 07:37:39,2008-11-20,07:37:39,BedRight,BedRight,ON,Other_Activity,None
129,2008-11-20 07:37:42,2008-11-20,07:37:42,BedRight,BedRight,ON,Other_Activity,None
130,2008-11-20 07:37:45,2008-11-20,07:37:45,BedRight,BedRight,ON,Other_Activity,None
131,2008-11-20 07:37:49,2008-11-20,07:37:49,BedRight,BedRight,ON,Other_Activity,None
132,2008-11-20 07:37:58,2008-11-20,07:37:58,BedRight,BedRight,ON,Other_Activity,None
133,2008-11-20 07:38:04,2008-11-20,07:38:04,BedRight,BedRight,ON,Other_Activity,None
134,2008-11-20 07:38:43,2008-11-20,07:38:43,BedRight,BedRight,ON,Other_Activity,None
135,2008-11-20 07:40:18,2008-11-20,07:40:18,BedRight,BedRight,ON,Other_Activity,None
136,2008-11-20 07:43:42,2008-11-20,07:43:42,BedRight,BedRight,ON,Other_Activity,None
137,2008-11-20 07:44:57,2008-11-20,07:44:57,BedRight,BedRight,ON,Other_Activity,None
138,2008-11-20 07:45:03,2008-11-20,07:45:03,BedRight,BedRight,ON,Other_Activity,None
139,2008-11-20 07:45:52,2008-11-20,07:45:52,BedRight,BedRight,ON,Other_Activity,None
140,2008-11-20 07:46:04,2008-11-20,07:46:04,BedRight,BedRight,ON,Other_Activity,None
141,2008-11-20 07:46:23,2008-11-20,07:46:23,BedRight,BedRight,ON,Other_Activity,None
142,2008-11-20 07:46:25,2008-11-20,07:46:25,BedRight,BedRight,ON,Other_Activity,None
