id,timestamp,sensor,action,event,pattern,activity
0,2008-11-20 07:00:01,BedRight,BedRight,ON,Other_Activity,None
1,2008-11-20 07:00:09,BedRight,BedRight,ON,Other_Activity,None
2,2008-11-20 07:00:12,BedRight,BedRight,ON,Other_Activity,None
3,2008-11-20 07:00:18,BedRight,BedRight,ON,Other_Activity,None
4,2008-11-20 07:00:59,BedRight,BedRight,ON,Other_Activity,None
5,2008-11-20 07:01:08,BedRight,BedRight,ON,Other_Activity,None
6,2008-11-20 07:01:11,BedRight,BedRight,ON,Other_Activity,None
7,2008-11-20 07:01:24,BedRight,BedRight,ON,Other_Activity,None
8,2008-11-20 07:01:31,BedRight,BedRight,ON,Other_Activity,None
9,2008-11-20 07:01:39,BedRight,BedRight,ON,Other_Activity,None
10,2008-11-20 07:01:47,BedRight,BedRight,ON,Other_Activity,None
11,2008-11-20 07:01:51,BedRight,BedRight,ON,Other_Activity,None
12,2008-11-20 07:02:02,BedRight,BedRight,ON,Other_Activity,None
13,2008-11-20 07:02:08,BedRight,BedRight,ON,Other_Activity,None
14,2008-11-20 07:02:20,BedRight,BedRight,ON,Other_Activity,None
15,2008-11-20 07:02:39,BedRight,BedRight,ON,Other_Activity,None
16,2008-11-20 07:02:52,BedRight,BedRight,ON,Other_Activity,None
17,2008-11-20 07:06:33,BedRight,BedRight,ON,Other_Activity,None
18,2008-11-20 07:09:12,BedRight,BedRight,ON,Other_Activity,None
19,2008-11-20 07:12:45,BedRight,BedRight,ON,Other_Activity,None
20,2008-11-20 07:17:31,BedRight,BedRight,ON,Other_Activity,None
21,2008-11-20 07:17:33,BedRight,BedRight,ON,Other_Activity,None
22,2008-11-20 07:17:35,BedRight,BedRight,ON,Other_Activity,None
23,2008-11-20 07:17:38,BedRight,BedRight,ON,Other_Activity,None
24,2008-11-20 07:17:40,BedRight,BedRight,ON,Other_Activity,None
25,2008-11-20 07:17:42,BedRight,BedRight,ON,Other_Activity,None
