id,timestamp,date,time,sensor,action,event,pattern,activity
0,2008-11-25 07:00:08,2008-11-25,07:00:08,ToiletFlushUpstairs,ToiletFlushUpstairs,ON,Pat_52,UseToiletUpstairs
1,2008-11-25 07:00:27,2008-11-25,07:00:27,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
2,2008-11-25 07:00:30,2008-11-25,07:00:30,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
3,2008-11-25 07:00:33,2008-11-25,07:00:33,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
4,2008-11-25 07:00:34,2008-11-25,07:00:34,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
5,2008-11-25 07:00:36,2008-11-25,07:00:36,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
6,2008-11-25 07:01:26,2008-11-25,07:01:26,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
7,2008-11-25 07:01:28,2008-11-25,07:01:28,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
8,2008-11-25 07:01:30,2008-11-25,07:01:30,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
9,2008-11-25 07:01:32,2008-11-25,07:01:32,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
10,2008-11-25 07:01:34,2008-11-25,07:01:34,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
11,2008-11-25 07:01:36,2008-11-25,07:01:36,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
12,2008-11-25 07:01:39,2008-11-25,07:01:39,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
13,2008-11-25 07:01:42,2008-11-25,07:01:42,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
14,2008-11-25 07:01:44,2008-11-25,07:01:44,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
15,2008-11-25 07:01:47,2008-11-25,07:01:47,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
16,2008-11-25 07:01:48,2008-11-25,07:01:48,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
17,2008-11-25 07:01:50,2008-11-25,07:01:50,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
18,2008-11-25 07:01:52,2008-11-25,07:01:52,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
19,2008-11-25 07:01:54,2008-11-25,07:01:54,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
20,2008-11-25 07:01:56,2008-11-25,07:01:56,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
21,2008-11-25 07:01:58,2008-11-25,07:01:58,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
22,2008-11-25 07:02:01,2008-11-25,07:02:01,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
23,2008-11-25 07:02:04,2008-11-25,07:02:04,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
24,2008-11-25 07:02:06,2008-11-25,07:02:06,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
25,2008-11-25 07:02:08,2008-11-25,07:02:08,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
26,2008-11-25 07:02:13,2008-11-25,07:02:13,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
27,2008-11-25 07:02:15,2008-11-25,07:02:15,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
28,2008-11-25 07:02:17,2008-11-25,07:02:17,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
29,2008-11-25 07:02:20,2008-11-25,07:02:20,Bathtub,Bathtub,ON,Pat_52,UseToiletUpstairs
